연도,번호,도서명,저자명,출판사명
2013,81,아무도 모르는 사이에 죽다: 사라지는 언어에 대한 가슴 아픈 탐사 보고서,니컬러스 에번스,글항아리
2013,82,독일어 전산구문 문법 연구,이민행,도서출판 역락
2013,83,화용론 연구의 거시적 관점 : 이론과 실제,이성범,소통
2013,84,일본 현대 연극사-명치/대정편,오자사 요시오,도서출판 연극과인간
2013,85,관객의 학교: 공연기호학,안 위베르스펠트,아카넷
2013,86,연극이론의 탐구,김용수,서강대학교출판부
2013,87,서사적 영상에서 성찰적 형상으로,김무규,도서출판 한울
2013,88,한국 영화의 존재방식과 광학적 무의식,박명진,도서출판 경진
2013,89,근대 대중가요의 매체와 문화,장유정,소명출판
2013,90,근대 대중가요의 지속과 변모,장유정,소명출판
2013,91,비서구 세계의 대중음악: 입문적 고찰,피터 매뉴얼,아카넷
2013,92,음악과 천재,오희숙,(사)서울대학교출판문화원
2013,93,중국도자사연구,방병선,경인문화사
2013,94,조선시대 사행기록화 - 옛 그림으로 읽는 한중관계사,정은주,(주)사회평론
2013,95,조선시대 서화수장 연구,황정연,신구문화사
2013,96,"다원주의 미학 : 자유로운 예술, 열린 비평",김진엽,책세상
2013,97,존 듀이의 교육미학,김연희,교육과학사
2013,98,칸트 미학 : 『판단력 비판』의 주요 개념들과 문제들,크리스티안 헬무트 벤첼,(주)그린비출판사
2013,99,예술의 조건: 근대 미학의 경계,오타베 다네히사,(주)돌베개
2013,100,경제와 헌법,이덕연,한국학술정보(주)
2013,101,독도의 영유권과 국제재판,김명기,한국학술정보(주)
2013,102,언론과 인격권,김재형,(주)박영사
2013,103,2000년대 민사판례의 경향과 흐름,"김상중, 김재형, 강승준, 김상용, 여미숙",(주)박영사
2013,104,한국법제사,박병호,민속원
2013,105,행정법 관계에서의 사인의 권리와 의무,김현준,법문사
2013,106,특허균등침해론,김동준,법문사
2013,107,법의 춤,이상돈,법문사
2013,108,단체교섭질서와 원하청관계,권혁,법문사
2013,109,한국민법의 새로운 전개,"윤대성, 大村敦志, 최경진, 권철, 지원림, 임건면, 홍성재, 김천수, 윤선희, 김훈건, 이춘원, 윤진수, 김상용, 김병두, 송덕수, 김용길, 김대정, 임치용, 정상현, 최창렬, 최문기, 안영하",법문사
2013,110,행정법과 규제정책,김유환,법문사
2013,111,상조업과 소비자보호법,고형석,법문사
2013,112,행정법의 이론과 실제,정하중,법문사
2013,113,헌법정치의 이상과 현실,김철수,소명출판
2013,114,신체의 자유와 인신보호절차,하명호,고려대학교출판부
2013,115,전환기의 형사정책,김일수,세창출판사
2013,116,법치주의와 민주주의,최대권,(사)서울대학교출판문화원
2013,117,근대 동아시아와 한국 자본주의,김윤희,고려대학교민족문화연구원
2013,118,노동시장 취약계층의 현실과 정책 과제,"이병희, 김혜원, 이시균, 김두순, 송홍선, 강신욱, 강병구, 정일용",도서출판 한울
2013,119,세계화와 자본축적 체제의 모순,"정성진, 이정구, 김창근, 김공회, 마틴 하트-랜즈버그, 김의동, 패트릭 본드",도서출판 한울
2013,120,금융위기와 한국의 금융제도 개혁,"남주하, 김정렬, 이규복",율곡출판사
2013,121,경제사상과 경제철학,변형윤,(주)지식산업사
2013,122,경제발전의 철학적 기초,좌승희,(사)서울대학교출판문화원
2013,123,경제와 커뮤니케이션,이완수,시간의물레
2013,124,"칼 폴라니, 햄릿을 읽다",원용찬,도서출판 당대
2013,125,정치경제학의 대답-세계대공황과 자본주의의 미래,"김수행, 정성진, 김성구, 전희상, 조복현, 김명록, 정상준, 장시복, 유승경, 신정완, 김계환, 안현효, 박도영, 류동민, 최진배, 김공회, 이강국, 이상헌",(주)사회평론
2013,126,스마트자본주의 5.0,"곽승준, 김기찬, 이민화, 정지훈, 최종욱, 강민수, 김창우, 김병선, 오명준",나남출판사
2013,127,문제 해결의 통합적 방법,"안병진, 김상익",한나래출판사
2013,128,진화하는 정보기술 변화하는 세상,김성철,(주)시그마프레스
2013,129,윤리적 소비,"이상훈, 신효진",한국학술정보(주)
2013,130,스마트시대 콘텐츠마케팅론,안종배,(주)박영사
2013,131,현대사회와 지속가능경영,"유재욱, 이근철, 선정훈",(주)박영사
2013,132,생활로 통하는 원가이야기,"김영현, 김광수, 이 유",도서출판 청람
2013,133,CSR 5.0 기업의 사회적 책임과 역할,김성택,도서출판 청람
2013,134,Designing Innovation Inquiry,SUK BONG CHOI,도서출판 청람
2013,135,글로벌기업의 CEO리더십-4대그룹을 중심으로-,"최찬기, 박윤창",도서출판 탑북스
2013,136,슬로건 창작의 기술,류진한,도서출판 한경사
2013,137,알기 쉬운 녹색경영,"최선, 박선경, 김용현, 이성철",도서출판 한경사
2013,138,기업의 인재관리 전략,김성수,(사)서울대학교출판문화원
2013,139,한국 농업 리모델링,성진근,도서출판 해남
2013,140,중국인이 몰려온다! -천만 관광객 시대의 한국관광-,"장광루이, 왕닝, 김진곤, 박정주, 이양수, 전선경, 최석호",백산출판사
2013,141,농업4.0시대의 지역브랜드 성공전략,"김형남, 한광식",백산출판사
2013,142,근대 한국 고등교육 연구,한용진,고려대학교민족문화연구원
2013,143,아동의 자유와 민주주의,Rosemary Chamberlin,도서출판 원미사
2013,144,"전환기의 중국대학 (I, II)","김영진, 박영순, 이경자, 김덕삼, 김수영, 양갑용, 윤경우, 은종학, 이광수, 김연희",학고방
2013,145,자폐 아동을 위한 음악치료와 감각통합,Dorita S. Berger,(주)시그마프레스
2013,146,"중국현대교육전개사 (상, 하)",김경식,한국학술정보(주)
