연도,번호,도서명,저자명,출판사명
2015,899,전기설계개론-설계 기초에서 제작의 기본까지-,"敬一, 한양대학교 에너지변환연구실 역",홍릉과학출판사
2015,900,(풍력발전 시스템의) 전력전자기술-설계 및 제어-,정해광 외,한티미디어
2015,901,운동수행능력 향상 트레이닝,"Micheal A. Clark, 박일봉 외 역",도서출판 한미의학
2015,902,조선의 칼과 무예,곽낙현,학고방
2015,903,선박해양 유체역학,이승준,GS인터비전
2015,904,창의설계입문,창의설계교육연구회,전남대학교출판부
2015,905,(환경관리자를 위한) 생물학적 하·폐수처리 실무,이문호,홍문관
2015,906,기초공학의 원리,이인모,씨아이알
2015,907,지반역공학 I-지반 거동과 모델링-,신종호,씨아이알
2015,908,내파공학,"Goda Yoshimi, 김남형 외 역",씨아이알
2015,909,미학적으로 교량보기,문지영,씨아이알
2015,910,환경치수와 물순환-토양침투에 의한 치수계획설계·시공사례-,"宮澤 博, 한무영 외 역",도서출판 동화기술
2015,911,재난관리론,한국방재학회,도서출판 구미서관
2016,912,한국 성리학 속의 심학,김세정,예문서원
2016,913,조선후기 불교동향사 연구,오경후,문현
2016,914,불교인식론 연구 : 다르마끼르띠의 『쁘라마나바릇띠까』「현량론」(現量論),"도사키 히로마사, 박인성 역",도서출판 길
2016,915,구사론 계품·근품·파아품 : 신도 영혼도 없는 삶,이종철 역주,한국학중앙연구원출판부
2016,916,보리수 가지치기 : 비판불교를 둘러싼 폭풍,"Jamie Hubbard 외, 류제동 역",씨아이알
2016,917,불교의 원자설 : 불교와 현대물리학의 만남,윤영호,씨아이알
2016,918,"(역주) 백서주역교석 : 새로운 《주역》의 탄생(1,2)","등구백, 황준연 엮음",학고방
2016,919,"17세기 조선, 마음의 철학 : 송시열 학단의 마음에 관한 탐구",이선열,글항아리 
2016,920,아리스토텔레스 수사학 연구,한석환,서광사
2016,921,논리학에 있어서 구조주의와 구성주의 ,문장수,도서출판 영한
2016,922,"마이클 샌델의 정의론, 무엇이 문제인가",박정순,철학과 현실사
2016,923,현상학과 상호문화성,박인철,아카넷
2016,924,현대 토대론 연구 : 경험의 인식론적 역할에 대한 탐구,윤보석,이화여자대학교출판부
2016,925,자아의 원천들 : 현대적 정체성의 형성,"찰스 테일러, 권기돈 외 역",새물결
2016,926,베이즈주의 : 합리성으로부터 객관성으로의 여정,이영의,한국문화사
2016,927,동물을 위한 윤리학,최훈,사월의책 
2016,928,"논리학의 역사(1,2)","윌리엄 닐 외, 박우석 외 역",한길사 
2016,929,"從容錄(1~4, 어휘사전)","天童正覺 頌古 외, 석지현 역주·해설",민족사
2016,930,(한스 큉의) 유대교 : 현 시대의 종교적 상황,"한스 큉, 이신건 외 역",시와 진실
2016,931,인도 힌두신화와 문화,류경희,서울대학교출판문화원
2016,932,퇴계 사상의 신학적 이해,양명수,이화여자대학교출판부
2016,933,근대중국 동북지역사회와 민간신앙,박경석 외,학고방
2016,934,종교적 이미지의 형상적 기능 : 시각적 이미지와 종교적 경험,정형철,도서출판 동인
2016,935,포스트-옴 시대 일본 사회의 향방과 '스피리추얼리티' : 옴 사건·일본교·네오-내셔널리즘,박규태,한양대학교 출판부
2016,936,불교와 한글 : 글로컬리티의 문화사,김기종,동국대학교출판부 
2016,937,공감과 대화의 신학 : 프리드리히 슐라이어마허,심광섭,신앙과지성사 
2016,938,이토 히로부미와 대한제국,한상일,까치
2016,939,몽골 제국 기행 : 마르코 폴로의 선구자들,"플라노 드 카르피니 외, 김호동 역주",까치
2016,940,천하의 바다에서 국가의 바다로 : 해양의 시각으로 본 근대 중국의 형성,조세현,일조각
2016,941,동아시아 역사 논쟁,김한규,소나무
2016,942,남조국(南詔國)의 세계와 사람들 : 8~9세기 동아시아의 서남 변방,정면,도서출판 선인
2016,943,동남아화교와 동북아화교 마주보기,송승석 외,학고방
2016,944,제국일본의 사상 : 포스트 제국과 동아시아론의 새로운 지평을 위하여,김항,창비
2016,945,군주론 : 군주국에 대하여,"니콜로 마키아벨리, 곽차섭 옮김·주해",도서출판 길
2016,946,이콘과 도끼 : 해석 위주의 러시아 문화사(1~3),"제임스 빌링턴, 류한수 역",한국문화사
2016,947,(근대 자본주의와 혁신의 기원) 이탈리아 상인의 위대한 도전,남종국,앨피
2016,948,(근대 유럽의 종교 갈등과 관용 실천) 유럽은 어떻게 관용사회가 되었나,"벤자민 J. 카플란, 김응종 역",푸른역사
2016,949,구석기시대의 석기 생산,장용준,진인진
2016,950,일본 신석기시대 생업과 주거,"하야시 켄사쿠, 천선행 역",사회평론
2016,951,"임란포로, 끌려간 사람들의 이야기",노성환,박문사
2016,952,연행론의 학문적 연행에 대한 반성적 고찰,허용호,민속원
2016,953,한국무조신화연구 : 비교신화학의 자료적 가치와 의의,김헌선,민속원
2016,954,한국연희예술사 : 유사한 중국·일본의 연희를 살피며,윤광봉,민속원
2016,955,"조미아, 지배받지 않는 사람들 : 동남아시아 산악지대 아나키즘의 역사","제임스 C. 스콧, 이상국 역",삼천리
2016,956,아무르강 소수민족 곰 의례 민속지,강정원 외,민속원
2016,957,돈황변문교주(1~6),"황정 외 교주, 전홍철 외 역",소명출판
2016,958,"소동파(蘇東坡) 문학의 현장 속으로(1,2)",류종목,서울대학교출판문화원
2016,959,"이태백 시집(1~7, 찾아보기)","이백, 이영주 외 역주",학고방
2016,960,百喩經의 언어 : 중고중국어의 세계,박원기,학고방
2016,961,제임스 조이스 문학 읽기,김종건,어문학사
2016,962,아프리카계 미국문학의 노예서사,이영철,도서출판 동인
2016,963,변증법적 상상력 : 윌리엄 블레이크의 작품세계,이종민,전북대학교출판문화원
2016,964,나쓰메 소세키(夏目漱石)의 선(禪)과 그림(畵),진명순,인문사
2016,965,한일 연어 대조연구 : 자료와 분석,윤상실,한국문화사
2016,966,아시아의 망령 : 귀환자 아베 고보와 전후 일본,박이진,성균관대학교 출판부
2016,967,근대 일본의 한국어 학습서,이강민,역락
2016,968,벤야민과 브레히트 : 예술과 정치의 실험실,"에르트무트 비치슬라, 윤미애 역",문학동네
2016,969,"독일, 민족, 그리고 신화 : 『에다』에서 <베른의 기적>까지",최윤영 외,서울대학교출판문화원
2016,970,현대 프랑스의 언어 정책,송기형,한국문화사
2016,971,언어는 어떻게 소통되는가 : 마음 이론과 화용 능력,조숙환,소나무
2016,972,한국어 사건과 시간 표현,신효필 외,서울대학교출판문화원
2016,973,빅데이터 시대의 언어 연구 : 내 손안의 검색엔진,이민행,21세기북스 
2016,974,1940년대 극장의 감성과 이데올로기,전지니,혜안
2016,975,이오네스코의 연극적 상상력 : 이오네스코 고유의 극적 테크닉과 상상력 해부,박형섭,한국문화사
2016,976,해럴드 핀터의 영화 정치성,정문영,도서출판 동인
2016,977,큐브릭 : 그로테스크의 미학,"제임스 네어모어, 정헌 역  ",컬처룩 
2016,978,(선법음악의 음정에서 조성음악의 화음으로) 대위적 화성의 역사,이내선,심설당
2016,979,皇帝와 瓷器 : 宋代官窯硏究,李喜寬,경인문화사
2016,980,(현대미술의 의미 찾기: 1970년대에서 1990년대까지) 미술을 넘은 미술,"린다 와인트라웁, 정수경 외 역",북코리아
2016,981,인문정신으로 동양 예술을 탐하다,"주량즈, 서진희 역",알마 
2016,982,"예술을 통해 본 현실, 제8판","Dennis J. Sporre, 이창환 외 역",시그마프레스
2016,983,아름다움과 인간의 조건 : 칸트 미학에 대한 하나의 해석,김수용,한국문화사
2016,984,비평철학,"노엘 캐럴, 이해완 역",북코리아
2016,985,상징의 미학,"오타베 다네히사, 이혜진 역",돌베개
2016,986,한국헌법학의 개척자들,전광석,집현재
2016,987,혐오에서 인류애로 : 성적지향과 헌법,"마사 C. 누스바움, 강동혁 역",뿌리와이파리
2016,988,인터넷상 정보 유통에 대한 새로운 저작권 규율 방향 모색,박준석,집문당
2016,989,자연법론과 법정책,金相容,피앤씨미디어
2016,990,기업의 형사책임,김재윤,마인드탭
2016,991,"법사상, 생각할 의무에 대하여",박준석,아카넷
2016,992,내사론,조광훈,진원사 
2016,993,憲法과 法律이 지배하는 社會,金哲洙,진원사 
2016,994,공익법인연구,"윤철홍 외, 법무법인 태평양 외 공동편집",경인문화사
2016,995,현대 형법학(제2권) : 형법과 진화이론,안성조,경인문화사
2016,996,(법과 사회 정의의 토대를 찾아서) 정의론,"로널드 드워킨, 박경신 역",민음사
2016,997,조세정의론,이동식,경북대학교출판부
2016,998,경제·경제학,이헌창,소화
2016,999,조선 후기 왕실재정과 서울상업,조영준,소명출판
2016,1000,"여성 북한이탈주민의 경제적 적응 : 취업, 소득, 소비",정진화 외,서울대학교출판문화원
2016,1001,화폐와 금융의 역사 연구,양동휴,도서출판 해남
2016,1002,유로의 함정,"Hans-Werner Sinn, 이헌대 외 역",한티미디어
2016,1003,歸屬財産 硏究 : 植民地 遺産과 韓國經濟의 進路,李大根,이숲
2016,1004,Servicovation : 서비스 중심의 비즈니스 모델 혁신 전략,김용진,율곡출판사
2016,1005,(서 박사의) 서비스 공감기행 : 대한민국 7大 명품 기업 서비스 체험기,서진영,KSAM(한국표준협회미디어)
2016,1006,일본의 크리에이티브 서비스,"小林潔司 외 編, 김우봉 외 역",도서출판 청람
2016,1007,(마케팅의 동향을 앞서 보려면 꼭 알아야 할) 마케팅 연구의 흐름,"이유재 엮음, (사)한국마케팅학회",법문사
2016,1008,효율성·생산성·성과분석,강상목,법문사
2016,1009,(더 좋은 세상을 위한 지속가능 경영전략) 사회적 경영전략 : 이론과 사례,이견직 외,무역경영사  
2016,1010,집요한 혁신,"Jeffrey Phillips, 강병선 외 역",마인드탭
2016,1011,스루풋 맥스 전략 : TOC / LEAN / 6 SIGMA,김남영,박영사
2016,1012,경영사 : 근대기업발전의 국제비교,김종현,서울대학교출판문화원
2016,1013,문화예술산업 생태계 서비스모델,권혁인 외,한경사
2016,1014,서비스 이노베이션,"Lance A. Bettencourt, 삼성SDS ST사업기획팀 역",K-Books
2016,1015,세종 공법 : 세계적인 조세 과학화와 선진화를 이룬 조선 최고의 조세 혁신,오기수,조율
2016,1016,"비트코인, 블록체인과 금융의 혁신","안드레아스 M. 안토노풀로스, 최은실 외 역",고려대학교 출판문화원
2016,1017,재일코리안 기업의 형성과 기업가정신,임영언,북코리아
2016,1018,(통계학의 거장 조지 박스의 삶과 추억) 어쩌다 보니 통계학자,"조지 박스, 박중양 역",생각의힘 
2016,1019,판소피아와 교육,나현규,학지사
2016,1020,한국 사회교육사상사,오혁진,학지사
2016,1021,일제하 연세학풍과 민족교육,연세학풍사업단·김도형 외,혜안
2016,1022,하이데거와 교육 : 인간다움과 교육적 삶,엄태동,교육과학사
2016,1023,"선비정신연구 : 앎, 삶, 교육",박균섭,문음사
2016,1024,"고전문학 경험교육론 : 고전문학이 묻고, 경험이 답하다",최홍원,역락
2016,1025,사립학교의 기원 : 일제 초기 학교 설립과 지역사회,강명숙,학이시습
2016,1026,(발로 찾아 쓴) 조선족 근현대 교육사,정미량,살림터
2016,1027,생활민주주의의 시대 : 새로운 정치 패러다임의 모색,조대엽,나남
2016,1028,자본주의의 신화와 독사(doxa),이영자,나남
2016,1029,일탈과 범죄의 사회학,김준호 외,다산출판사
2016,1030,개인화 : 해방과 위험의 양면성,홍찬숙,서울대학교출판문화원
2016,1031,글로벌 패러독스 : 아시아의 도전과 과제,임현진 외,서울대학교출판문화원
2016,1032,"다시 읽는 막스 베버 : 탄생 150주년 기념, 베버의 삶과 학문 연구",한국사회이론학회 외 엮음,문예출판사
2016,1033,잡종사회와 그 친구들 : 아나키스트 자유주의 문명전환론,김성국,이학사
2016,1034,평등 사회를 향하여 : 한국 형평사와 일본 수평사의 비교,김중섭,지식산업사
2016,1035,오늘의 사회이론가들,김문조 외,한울아카데미
2016,1036,응답하는 사회학 : 인문학적 사회학의 귀환,정수복,문학과지성사
2016,1037,지배받는 지배자 : 미국 유학과 한국 엘리트의 탄생,김종영,돌베개
2016,1038,조국 근대화'의 젠더정치 : 가족·노동·섹슈얼리티,이재경 외,아르케
2016,1039,복지국가 개혁의 정치학 : 대륙유럽 복지국가의 현대화,"실리아 호이저만, 남찬섭 역",사회복지전문출판 나눔의집
2016,1040,인권과 사회복지,"엘리자베스 라이커트 외, KC대학교 남북통합지원센터 역",사회복지전문출판 나눔의집
2016,1041,"복지, 논어를 탐하다",권중돈,학지사
2016,1042,우리 복지국가의 역사적 변화와 전망,김병섭 외,서울대학교출판문화원
2016,1043,보통이 아닌 몸 : 미국 문화에서 장애는 어떻게 재현되었는가,"로즈메리 갈런드 톰슨, 손홍일 역",그린비
2016,1044,인간관계와 의사소통의 심리학,"Ronald B. Adler 외, 정태연 역",교육과학사
2016,1045,"놀이의 치료적 힘 : 변화의 20가지 핵심 기제, 제2판","Charles E. Schaefer 외, 유미숙 외 역",시그마프레스
2016,1046,"응용행동분석(하), 제2판","John O. Cooper 외, 정경미 외 역",시그마프레스
2016,1047,인터넷 중독의 특성과 쟁점 ,디지털중독연구회,시그마프레스
2016,1048,다문화상담,"Devika Dibya Choudhuri 외, 오인수 역",박학사
2016,1049,"행동과학을 위한 연구방법론, 제11판","Paul C. Cozby 외, 김초복 역",박학사
2016,1050,지리사상사,"Tim Cresswell, 박경환 외 역",시그마프레스
2016,1051,일본은 어떻게 독도를 인식해 왔는가,정영미,한국학술정보
2016,1052,"공간, 장소, 젠더","도린 매시, 정현주 역",서울대학교출판문화원
2016,1053,한국 전통지리학사,오상학,들녘
2016,1054,"한반도, 서양 고지도로 만나다 : 중세부터 근대까지, 서양 고지도 속 한반도에 대한 총체적 분석",정인철,푸른길
2016,1055,네트워크의 지리학,허우긍 외,푸른길
2016,1056,백두산 두만강 압록강 : 지형·지층 및 토양에 관한 연구,유충걸,백산출판사 
2016,1057,전쟁과 평화 : 6·25전쟁과 정전체제의 탄생,김명섭,서강대학교출판부
2016,1058,보수 : 개념의 역사,권용립,소화
2016,1059,2014년 지방선거 분석,강원택 편,나남
2016,1060,韓國政治(全2권),진영재 외,법문사
2016,1061,민주주의의 수수께끼,"존 던, 강철웅 외 역",후마니타스
2016,1062,한·중·일 사회적경제 Mapping,김의영 외,진인진
2016,1063,"중국, 미국 그리고 동아시아 : 신흥 강대국의 부상과 지역질서",김재철,한울아카데미
2016,1064,민족주의와 문화정치,최진우 엮음,한울아카데미
2016,1065,한국 정당의 미래를 말하다 ,조화순 엮음,한울아카데미
2016,1066,네트워크와 국가전략 : 세계정치의 변환과 연속성,김상배 외,사회평론
2016,1067,"중국, 대국의 신화 : 중화제국 정치의 토대",김영진,성균관대학교 출판부
2016,1068,조선 공산주의자들의 인식과 논리,심지연,백산서당
2016,1069,"이익집단의 정치학 : 한국, 스웨덴, 미국 경제단체의 정치적 활동과 최근 변화",윤홍근,인간사랑 
2016,1070,19~20세기 정치적인 것에 대한 시론,"클로드 르포르, 홍태영 역",그린비 
2016,1071,사회 정의란 무엇인가 : 현대 정의 이론과 공동선 탐구,이종은,책세상
2016,1072,지방의회의 발전모형,김순은,도서출판 조명문화사
2016,1073,생각을 여는 행정학,임의영,도서출판 대영문화사
2016,1074,제도와 철학 : 제도와 정책의 현상학·언어철학적 탐구와 비판,사공영호,도서출판 대영문화사
2016,1075,제도와 행위,배병룡 엮음,도서출판 대영문화사
2016,1076,공감으로 소통하는 공동체,오세윤,법문사
2016,1077,공동체 : 유토피아에서 마을만들기까지 ,이종수,박영사
2016,1078,위험사회와 국가정책,하연섭 편,박영사
2016,1079,젠더 중립성의 신화 : 여성 공무원을 통해 본 현실과 담론의 이중성,원숙연,이화여자대학교출판부
2016,1080,모순적 리더십과 조직문화 : 경쟁가치와 양면성,이동수,계명대학교 출판부
2016,1081,미디어 공정성 연구,윤석민,나남
2016,1082,식민지 시기 언론과 언론인,박용규,소명출판
2016,1083,비판과 정명 : 리영희의 언론 사상,최영묵,한울아카데미
2016,1084,한국전쟁기 미디어와 사회,김영희,커뮤니케이션북스
2016,1085,지식구조론(1~3),남태우,한국도서관협회
2016,1086,중국관내 한국독립운동가의 삶과 투쟁,최기영,일조각
2016,1087,조선 전기의 사림과 <소학>,윤인숙,역사비평사
2016,1088,고려·조선 국도풍수론과 정치이념,장지연,신구문화사
2016,1089,"한국고대 문자자료연구 : 백제(상,하)",권인한 외 공동편집,주류성
2016,1090,신라 왕위계승 원리 연구,선석열,혜안
2016,1091,조선 왕실의 제향 공간 : 정제와 속제의 변용,이욱,한국학중앙연구원출판부
2016,1092,신라 하대 정치와 사회 연구,이문기,학연문화사
2016,1093,朝鮮後期 嶺南 南人 硏究,우인수,경인문화사
2016,1094,임시정부 시기의 대한민국 연구,김희곤,지식산업사
2016,1095,한국전쟁과 기독교,윤정란,한울아카데미
2016,1096,19세기 민중사 연구의 시각과 방법,배항섭,성균관대학교 출판부
2016,1097,한국 전근대 교통사,고동환,들녘
2016,1098,조선후기의 전술 : 『兵學通』을 중심으로,노영구,그물
2016,1099,국어 담화 문법,이기갑,태학사
2016,1100,한국어 등재소의 형성과 변화,정한데로,태학사
2016,1101,최적성이론의 국어 음운현상 분석,조성문,한국문화사
2016,1102,(훈민정음을 사랑한 변호사) 박승빈,시정곤,도서출판 박이정
2016,1103,언간 : 조선시대의 한글 편지,황문환,역락
2016,1104,한국어 형태론,최형용,역락
2016,1105,우리 전통시가의 위상과 현대화,김학성,보고사
2016,1106,노래와 시의 울림과 그 내면 : 한국 고전시가의 존재 양상과 그 지향,최재남,보고사
2016,1107,동아시아의 글쓰기 전략,辛恩卿,보고사
2016,1108,고전소설의 양식과 비판정신,정학성,도서출판 월인
2016,1109,한국 전기소설 연구,엄태식,도서출판 월인
2016,1110,조선후기 가사문학 연구,고순희,박문사
2016,1111,"조선시대 상업출판 : 서민의 독서, 지식과 오락의 대중화",이윤석,민속원
2016,1112,한국 시가의 유형적 성격과 작품 전개 구도,전재강,새문사
2016,1113,조선후기 가집 연구,이상원,고려대학교민족문화연구원
2016,1114,문학사는 어디로,조동일,지식산업사
2016,1115,일제 강점기 간도소설에 대한 재인식,지쿤(李琨),도서출판 하우 
2016,1116,애도와 우울(증)의 현대시,김승희 ,서강대학교출판부
2016,1117,정지용 시와 주체의식,김영미,태학사
2016,1118,"한국 전통의 돈의 문학사, 나눔의 문화사",서신혜,집문당
2016,1119,현대시조의 이론과 비평,김학성,보고사
2016,1120,현대시와 문학통계학,김병선,한국학중앙연구원출판부
2016,1121,한국 근대시의 과제와 문학사의 주체들,김진희,소명출판
2016,1122,붓다와 함께 쓰는 시론 : 근대시론을 넘어서기 위하여,정효구,푸른사상
2016,1123,미래 이후의 미학 : 유혹사회에서의 보이지 않는 정치와 문학,나병철,문예출판사
2016,1124,현대시의 사회시학적 연구,김영철,새문사
2016,1125,시선의 문학사,이광호,문학과지성사
2016,1126,한국음악학 연구 방법론,김우진,민속원
2016,1127,해시계 : 해시계의 수학적 원리 분석,황운구 외,과학정원
2016,1128,수학 IN 디자인,신현용 외,교우사
2016,1129,(SAS / ETS를 이용한) 계량경제·금융자료 분석,박유성 외,자유아카데미 
2016,1130,(인체해석을 위한) 의용수학,양계탁 외,여문각 
2016,1131,(파생상품 이해를 위한) 금융수학,고관표,경문사
2016,1132,수리금융의 이해,"데이비드 러브 락 외, 박기현 역",경문사
2016,1133,사회정의를 위한 수학교육,"Anita A. Wager 외 엮음, 박만구 외 역",경문사
2016,1134,현대기하학,박준식,경문사
2016,1135,양자·정보·생명,장회익 외,한울아카데미
2016,1136,소리의 얼굴들,구자현,경북대학교출판부
2016,1137,(핵심) 효소학,김영재,월드사이언스
2016,1138,수목의학,이경준,서울대학교출판문화원
2016,1139,버섯학(각론) : 재배 기술과 기능성 ,저자대표 유영복,(주)교학사 
2016,1140,습지학,안경수 외 엮음,(주)라이프사이언스
2016,1141,플랑크톤의 배양과 응용 : 먹이생물학,허성범,(주)라이프사이언스
2016,1142,지구의 기후변화 : 과거와 미래,"윌리엄 F. 러디먼, 이준호 외 역",시그마프레스
2016,1143,석유에너지 지질학 : 석유의 생성에서부터 석유탐사개발까지,정대교 외,시그마프레스
2016,1144,해양지구환경학 : 생물지구화학의 순환으로 해석,"가와하타 호다까, 현상민 외 역",씨아이알
2016,1145,"10억 년 전으로의 시간 여행 : 지질학자, 기록이 없는 시대의 한반도를 찾다",최덕근,Humanist(휴머니스트 출판그룹)
2016,1146,(생각이 필요한) 식용유지학,한국식품과학회 외,수학사
2016,1147,식품독성학,최석영 외,도서출판 효일 
2016,1148,패션과 영상문화,김영선 외,교문사
2016,1149,(세포부터 인체까지) 분자영양학,이명숙 외,교문사
2016,1150,어머니 양육행동 관련 변인들과 유아 사회정서행동 간의 구조모형 분석,심숙영,집문당
2016,1151,(이해하기 쉬운) 식품재료학,조경련 외,파워북
2016,1152,분홍 단령의 비밀 : 충남 천안시 유량동 무연고 여성 묘 출토 복식,단국대학교 석주선기념박물관 편,민속원
2016,1153,전통 주거에서 배우는 웰빙 주생활,김자경,Spacetime(시공문화사)
2016,1154,임상 자기공명영상학,대한자기공명의과학회 엮음,일조각
2016,1155,(뇌의학을 처음 접하는 독자를 위한) 뇌의학의 첫걸음,서대원,우리의학서적
2016,1156,"(언어치료인과 청각학도를 위한) 청각학개론, 제3판","Stanley A. Gelfand, 김진동 외 역",시그마프레스
2016,1157,헬리코박터 파일로리,대표저자 김나영,도서출판 대한의학
2016,1158,혈관학 교과서,대한심장학회 혈관연구회,도서출판 대한의학
2016,1159,턱교정 수술 및 안면윤곽술,최진영 외,범문에듀케이션
2016,1160,두경부 영상의학,김형진 외 편저,범문에듀케이션
2016,1161,FLAPS : FOR MICROSURGICAL RECONSTRUCTION,The Korean Society for Microsurgery,PANMUN
2016,1162,꽃가루와 알레르기,오재원 외,한국학술정보
2016,1163,(컴퓨터보조 항법시스템을 이용한) 악교정 및 임플란트 수술,김명진 외,서울대학교출판문화원
2016,1164,한국의 건강 불평등,김창엽 외,서울대학교출판문화원
2016,1165,Bio 교정,정규림 외,군자출판사
2016,1166,(세부전문의를 위한) 간담췌외과 마스터 수술집,한국간담췌외과학회,군자출판사
2016,1167,(진료실에서 직접 활용할 수 있는) 구강내과 지식과 약물 : 증례로 배우기,고홍섭,지성출판사 
2016,1168,DIGITAL FLAPLESS IMPLANTOLOGY,최병호 외,지성출판사 
2016,1169,악골괴사증의 예방과 치료,김선종 외,대한나래출판사 
2016,1170,과학의 발전과 항암제의 역사,김규원 외,범문에듀케이션
2016,1171,바이오의약품 : 개발의 기초부터 차세대 의약품까지,"西島正弘 외 編, 일본약학도서 번역연구회 역",신일서적(주)
2016,1172,생약조직백과,박종희,신일서적(주)
2016,1173,역시만필 : 조선 어의 이수귀의 동의보감 실전기,"이수귀, 신동원 외 역",들녘
2016,1174,상한론 : 고문자적 번역과 해석,김경일(고석 번역),바다출판사 
2016,1175,컴퓨팅 사고력과 일상의 빅데이터,임희석 외,Human Science(휴먼싸이언스)
2016,1176,"물리 기반 렌더링 : 현실 같은 그래픽스를 위한 알고리즘, 게임 엔진과 렌더러까지","매트 파르 외, 이상우 역",에이콘
2016,1177,아날로그 회로 설계 : 시스템 회로 설계자를 위한 실전 예제와 문제 해결 가이드,"밥 돕킨 외, 이동윤 역",에이콘
2016,1178,데이터 마이닝 : 개념과 기법,"지아웨이 한 외, 정사범 외 역",에이콘
2016,1179,사이버 보안과 국가 안보 전략,"프랭클린 크레이머 외 편저, 김경곤 외 역",에이콘
2016,1180,"About Face 4 인터랙션 디자인의 본질 : 목표 지향 디자인부터 스마트기기 환경까지, 시대를 초월하는 UX 방법론","앨런 쿠퍼 외, 최윤석 외 역",에이콘
2016,1181,"데이터 시각화, 인지과학을 만나다 : 정보 데이터 시각화의 과학적 원리와 실제","콜린 웨어, 최재원 역",에이콘
2016,1182,"보안의 미학 : 보안의 심리학과 측정학, 지하경제, 역사에 이르기까지 컴퓨터 보안의 오해와 진실","앤디 오람 외 편저, 김상현 역",에이콘
2016,1183,머신 러닝,"케빈 머피, 노영찬 역",에이콘
2016,1184,해커의 공격 기술,"니테쉬 단자니 외, 윤근용 역",에이콘
2016,1185,클라우드 세상 속으로,"조시 로젠버그 외, 장정식 역",에이콘
2016,1186,슈나이어 온 시큐리티 : 안전한 보안에 대해 생각하다,"브루스 슈나이어, 고현영 외 역",에이콘
2016,1187,보안 데이터 시각화 : 데이터의 핵심을 한눈에 보여주는 최적의 기법,"라파엘 마티, 구동언 역",에이콘
2016,1188,실시간 분석의 모든 것 : 스트리밍 데이터 분석 및 시각화 시스템 구축 가이드,"바이런 엘리스, 이상훈 역",한빛미디어
2016,1189,안드로이드 시큐리티 인터널 : 지금까지 접하지 못했던 깊이 있는 보안 안내서,"니콜라이 옐렌코프, 강권학 역",한빛미디어
2016,1190,"인공지능 : 현대적 접근방식(1,2), 제3판","스튜어트 러셀 외, 류광 역",제이펍
2016,1191,(R을 활용한) 소셜 빅데이터 연구방법론,송태민 외,한나래아카데미
2016,1192,스포츠교육학의 새로운 지평,류태호 외,경문사
2016,1193,"(캐치) 운동생리학, 제4판","Victor L. Katch 외, 곽이섭 외 역",(주)라이프사이언스
2016,1194,(철도안전에 대한 설명과 방법론의 제시) 대한민국의 철도안전관리,곽상록,지식과감성#
2016,1195,지하공간정보 관리론,손호웅 외,시그마프레스
2016,1196,프리스트레스트 콘크리트 : 강도설계법과 한계상태설계법,이재훈,동명사
2016,1197,공학기술과 경영,강석호,박영사
2016,1198,상수도 공학 : 상수도 처리에 대한 이론 및 실제,조봉연,씨아이알
2016,1199,(자연과 문명의 조화) 토목공학,대한토목학회 '자연과 문명의 조화 토목공학' 출판위원회,씨아이알
2016,1200,사회환경 안전관리 : 참된 삶의 조화,"유연, 유복모 감수",씨아이알
2016,1201,현대건축의 이해,이종국,계명대학교 출판부
2016,1202,로켓과학 I : 로켓 추진체와 관성유도,정규수,지성사
2016,1203,항공기 서브시스템,이부일,경문사
2017,1204,동도관의 변화로 본 한국 근대철학,홍원식,예문서원
2017,1205,성유식론 주해 : 마음의 구조와 작용,이만 역주,씨아이알
2017,1206,덕 윤리 : 그 발전과 전망,장동익,씨아이알
2017,1207,의례 역주 1-9,김용천 외 역주,세창출판사
2017,1208,(인도철학의 최고 명저) 브라흐마 수뜨라 주석 1-4,"샹까라, 박효엽 역",세창출판사
2017,1209,"국가, 유학, 지식인 : 현대 중국의 보수주의와 민족주의",조경란,책세상
2017,1210,우주의 정오 : 서우 전병훈과 만나는 철학 그리고 문명의 시간,김성환,소나무
2017,1211,학문의 고고학 : 한국 전통 지식의 굴절과 근대 학문의 기원,이행훈,소명출판
2017,1212,감정과 도덕 : 성리학의 도덕 감정론,홍성민,소명출판
2017,1213,기억의 역전 : 전환기 조선사상사의 새로운 이해,노관범,소명출판
2017,1214,함석헌선집 1-3,함석헌선집편집위원회 엮음,한길사
2017,1215,의지와 소통으로서의 세계 : 쇼펜하우어의 세계관과 아시아의 철학,이규성,동녘
2017,1216,기로에 선 이성 : 셸링 철학,이광모,용의 숲
2017,1217,근대성과 자아의식 : 전환기 사회와 철학,차인석,아카넷
2017,1218,시몽동의 기술철학 : 포스트휴먼 사회를 위한 청사진,김재희,아카넷
2017,1219,정신현상학의 이념,강순전,세창출판사
2017,1220,비트겐슈타인의 철학 : 언어의 마법에 대한 하나의 투쟁,이영철,책세상
2017,1221,니체와 하이데거,박찬국,그린비
2017,1222,설득과 비판 : 초기 희랍의 철학 담론 전통,강철웅,후마니타스
2017,1223,마음과 시간 : 불교 견성론의 현상학적 해명,정은해,서울대학교출판문화원
2017,1224,북원경과 남한강 불교문화,이인재,혜안
2017,1225,한국의 종교와 종교사 : 유고집,윤이흠,박문사
2017,1226,종교경제행위론,"로드니 스타크 외, 유광석 역",북코리아
2017,1227,선의 매혹적인 힘 : 그리스도교 윤리학의 이론과 실제,"빌프리트 헤를레, 김형민 역",북코리아
