검색어 ,,,,,,,
총 333건 중 333건 출력,,,,,,,
No.,자료 유형,서명,저자,출판사,청구기호,출판년,수록 매체
49,단행본,(비됴클래스 하줜의) 유튜브 동영상 편집 with 프리미어 프로,하지원,한빛미디어,006.686 018두,2018,
50,단행본,우리 몸이 세계라면 : 분투하고 경합하며 전복되는 우리 몸을 둘러싼 지식의 사회사,김승섭,동아시아,612 018구,2018,
51,단행본,트렌드 코리아 2020 : 서울대 소비트렌드 분석센터의 2020 전망,김난도 金蘭都,미래의창,338.544 019녀,2019,
52,단행본,날씨가 좋으면 찾아가겠어요 : 이도우 장편소설 : 윈터 에디션,이도우,시공사,BA 811.37 이도우 사020가,2020,
53,단행본,타인의 해석 : 당신이 모르는 사람을 만났을 때,"Gladwell, Malcolm",김영사,302 020갸,2020,
54,단행본,젊은작가상 수상작품집. 제11회(2020),강화길,문학동네,811.3708 010그,2020,
55,단행본,"움직임의 힘 : 운동은 어떻게 행복과 희망, 친밀감과 용기를 찾도록 돕는가","McGonigal, Kelly",Andromedian : 로크미디어,613.71 020갸,2020,
56,단행본,디플레 전쟁,홍춘욱,스마트북스,332.41 020가,2020,
57,단행본,디즈니만이 하는 것,"Iger, Robert",쌤앤파커스,384.8092 Ig2 020가,2020,
58,단행본,포스트 코로나 : 우리는 무엇을 준비할 것인가,임승규,한빛비즈,303.4 020겨,2020,
59,단행본,(코로나) 투자 전쟁 : 전 세계 금융 역사 이래 최대의 유동성,정채진,page2,332.042 020거,2020,
60,단행본,코로나 이후의 세계 : 블룸버그 선정 세계 1위 미래학자 제이슨 솅커의 미래예측,"Schenker, Jason",미디어숲,303.49 020고,2020,
61,단행본,일 잘하는 사람은 단순하게 말합니다,박소연,더퀘스트 : 길벗,808.56 020가,2020,
62,단행본,자본과 이데올로기,"Piketty, Thomas",문학동네,332.041 020가,2020,
63,단행본,마켓컬리 인사이트 : 스케일을 뛰어넘는 디테일로 시장을 장악하는 방식,김난도 金蘭都,다산북스,658.4 020구,2020,
64,단행본,영양의 비밀 : 동물에게 배우는 최상의 건강관리비법,"Provenza, Frederick D",Bronstein : 로크미디어,613.2 020갸,2020,
65,단행본,체리새우 : 비밀글입니다 : 황영미 장편소설,황영미 黃英美,문학동네,811.37 황영미 체019가,2019,
66,단행본,소설 보다 : 여름 2020,강화길,문학과지성사,811.3708 020뇨,2020,
67,단행본,아가미 : 구병모 장편소설,구병모 具竝模,위즈덤하우스,811.37 구병모 아018가,2018,
68,단행본,옥상에서 만나요 : 정세랑 소설집,정세랑 鄭世朗,창비,811.37 정세랑 옥018가,2018,
69,단행본,하마터면 열심히 살 뻔했다 : 야매 득도 에세이,하완,웅진지식하우스,811.8 하완 하018가,2018,
70,단행본,(전설로 떠나는) 월街의 영웅 : 주식투자에서 상식으로 성공하는 법,"Lynch, Peter (Peter S.)",국일증권경제연구소,332.6322 017고,2017 / 개정2판,
71,단행본,팩트풀니스 : 우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유,"Rosling, Hans",김영사,155.9042 019가,2019,
72,단행본,"대변동 : 위기, 선택, 변화 : 무엇을 선택하고 어떻게 변화할 것인가","Diamond, Jared M",김영사,303.484 019거,2019,
73,단행본,선량한 차별주의자,김지혜,창비,305 019갸,2019,
74,단행본,오직 두 사람 : 김영하 소설,김영하 金英夏,문학동네,811.37 김영하 오017가,2017,
75,단행본,"다시, 책으로 : 순간접속의 시대에 책을 읽는다는 것","Wolf, Maryanne",어크로스,401.84019 019가,2019,
76,단행본,에이트 : 인공지능에게 대체되지 않는 나를 만드는 법,이지성,차이정원,303.4834 019교,2019,
77,단행본,"어른이 되면 괜찮을 줄 알았다 : 심리학, 어른의 안부를 묻다",김혜남,포르체,155.25 019가,2019,
78,단행본,대한민국 업종별 재무제표 읽는 법,이민주,스프링,657.3 011기,2011,
79,단행본,역사의 쓸모 : 자유롭고 떳떳한 삶을 위한 22가지 통찰,최태성,다산초당,902 019가,2019,
80,단행본,"(1일 1페이지,) 세상에서 가장 짧은 교양 수업 365","Kidder, David S",위즈덤하우스,909 019두,2019,
81,단행본,연필로 쓰기 : 김훈 산문,김훈 金薰,문학동네,811.4 김훈 연019가,2019,
82,단행본,숨 : 테드 창 소설,"Chiang, Ted",엘리 : 북하우스퍼블리셔스,823 C43e 019가,2019,
83,단행본,죽음 : 베르나르 베르베르 장편소설. 2,"Werber, Bernard",열린책들,843 W491d 019가,2019,
84,단행본,운다고 달라지는 일은 아무것도 없겠지만 : 박준 산문,박준,난다,811.4 박준 운017가,2017,
85,단행본,경애의 마음 : 김금희 장편소설,김금희 金錦姬,창비,811.37 김금희 경018가,2018,
86,단행본,죽음 : 베르나르 베르베르 장편소설. 1,"Werber, Bernard",열린책들,843 W491d 019가,2019,
87,단행본,새 논문작성법,연세대학교. 연구처,연세대학교 출판부,808.066 98겨,1998 / 제4판,목차
88,단행본,"진이, 지니 : 정유정 장편소설",정유정 丁柚井,은행나무,811.37 정유정 진019가,2019,
89,단행본,부의 추월차선 : 부자들이 말해 주지 않는 진정한 부를 얻는 방법,"DeMarco, M. J",토트 : 북새통,332.024 013됴,2013,
90,단행본,파타고니아 : 파도가 칠 때는 서핑을,"Chouinard, Yvon",라이팅하우스,658.4083 020가,2020,
91,단행본,(권오현) 초격차 : 넘볼 수 없는 차이를 만드는 격,권오현 權五鉉,쌤앤파커스,658.4092 018더,2018,
92,단행본,기록의 쓸모 : 마케터의 영감노트,이승희,북스톤,658.8002 020가,2020,
93,단행본,지금 하지 않으면 언제 하겠는가 : 세계 최고 멘토들의 인생 수업,"Ferriss, Timothy",토네이도,650.1 018기,2018,
94,단행본,하버드 상위 1퍼센트의 비밀 : 신호를 차단하고 깊이 몰입하라,정주영,한국경제신문,650.1 018쥬,2018,
95,단행본,대량살상수학무기 : 어떻게 빅데이터는 불평등을 확산하고 민주주의를 위협하는가,"O'Neil, Cathy",흐름출판,005.7 017가,2017,
96,단행본,대학원생 때 알았더라면 좋았을 것들,엄태웅,클라우드나인,378.155 019가,2019,
97,단행본,대도시의 사랑법 : 박상영 연작소설,박상영 朴相映,창비,811.37 박상영 대019가,2019,
98,단행본,아몬드 : 손원평 장편소설,손원평 孫元平,창비,811.37 손원평 아017갸,2017,
99,단행본,나는 나로 살기로 했다 : 냉담한 현실에서 어른살이를 위한 to do list,김수현,마음의숲,811.8 김수현 나016가,2016,
100,단행본,오래 준비해온 대답 : 김영하의 시칠리아,김영하 金英夏,복복서가,914.58 020가,2020,
101,단행본,(읽기만 하면 내 것이 되는) 1페이지 한국사 365,심용환,비에이블,951 020너,2020,
102,단행본,혼돈의 시대 리더의 탄생,"Goodwin, Doris Kearns",Connecting : 로크미디어,973 020갸,2020,
103,단행본,"규칙없음 : 넷플릭스, 지구상 가장 빠르고 유연한 기업의 비밀","Hastings, Reed",알에이치코리아,384.555 020거,2020,
104,단행본,우리의 불행은 당연하지 않습니다 : 대한민국의 불편한 진실을 직시하다,김누리,해냄,301.0951 020고,2020,
105,단행본,사람에 대한 예의,권석천,어크로스,301.02 020거,2020,
106,단행본,"존리의 부자되기 습관 : ""You can do it!"" : 대한민국 경제독립 액션플랜",이존,지식노마드,332.024 020갸,2020,
107,단행본,(스타강사 사경인 회계사의 재무제표 모르면) 주식투자 절대로 하지마라,사경인,베가북스,332.6322 020가,2020 / 1차 개정[판],
108,단행본,나이듦에 관하여,"Aronson, Louise",Being : 로크미디어,362.60973 020가,2020,
109,단행본,판문점의 협상가 : 정세현 회고록 : 북한과 마주한 40년,정세현,창비,320.951 020됴,2020,
110,단행본,석세스 에이징 : 노화의 잠재력을 끌어올리는 뇌과학의 힘,"Levitin, Daniel J",와이즈베리,612.82 020고,2020,
111,단행본,플레인 센스 : 지식의 경계를 누비는 경이로운 비행 인문학,김동현,Whale books,629.1325 020가,2020,
112,단행본,공간이 만든 공간 : 새로운 생각은 어떻게 만들어지는가,유현준,을유문화사,720.2 020갸,2020,
113,단행본,"뉴턴의 아틀리에 : 과학과 예술, 두 시선의 다양한 관계 맺기",김상욱,민음사,700.105 020갸,2020,
114,단행본,죽은 자의 집 청소,김완,김영사,811.8 김완 죽020가,2020,
115,단행본,내가 원하는 것을 나도 모를 때 : 잃어버린 나를 찾는 인생의 문장들,전승환,다산초당,811.8 전승환 내020가,2020,
116,단행본,1cm 다이빙,장태수,피카,811.8 장태수 일020가,2020,
117,단행본,생강빵과 진저브레드 : 소설과 음식 그리고 번역 이야기 : 김지현 산문집,김지현,비채,811.4 김지현 생020가,2020,
118,단행본,이야기의 탄생 : 뇌과학으로 풀어내는 매혹적인 스토리의 원칙,"Storr, Will",흐름출판,808.3 020거,2020,
119,단행본,기억 : 베르나르 베르베르 장편소설. 1,"Werber, Bernard",열린책들,843 W491b 020가,2020,
120,단행본,기억 : 베르나르 베르베르 장편소설. 2,"Werber, Bernard",열린책들,843 W491b 020가,2020,
121,단행본,달 너머로 달리는 말 : 김훈 장편소설,김훈 金薰,파람북,811.37 김훈 달020가,2020,
122,단행본,세계의 끝과 하드보일드 원더랜드,촌상춘수 村上春樹,민음사,813.37 촌상춘 하020가,2020,
123,단행본,내가 왜 계속 살아야 합니까 : 퓰리처상 수상 작가가 묻고 세계의 지성 100인이 답하다,"Durant, Will",유유,128 020가,2020,
124,단행본,딸에게 보내는 심리학 편지 : 30년 동안 미처 하지 못했던 그러나 꼭 해 주고 싶은 이야기들,한성희,메이븐,158.1 020겨,2020,
125,단행본,니체의 삶 : 역사상 가장 위대한 철학자 니체의 진정한 삶,"Prideaux, Sue",Being : 로크미디어,193 N558Y 020고,2020,
126,단행본,좋은 말씀 : 법정 스님 법문집,법정 法頂,시공사,294.34 020갸,2020,
127,단행본,이윤기의 그리스 로마 신화,이윤기 李潤基,웅진지식하우스,292.13 020갸,2020 / 합본판,
128,단행본,마음챙김의 배신 : 명상은 어떻게 새로운 자본주의 영성이 되었는가?,"Purser, Ronald E.",필로소픽,158.1 021가,2021,
129,단행본,경제학 무작정 따라하기,"Pettinger, Tejvan",길벗,330 021거,2021,
130,단행본,여우들은 밤에 찾아온다 : 세스 노터봄 소설,"Nooteboom, Cees",문학동네,839.313 N738s 021가,2021,
131,단행본,"열역학 : 열과 일, 에너지와 엔트로피의 과학","Berry, R. Stephen",김영사,536.7 021가,2021,
132,단행본,"성장의 종말 : 정점에 다다른 세계 경제, 어떻게 돌파할 것인가","Vollrath, Dietrich",더퀘스트 : 길벗,330.973 021거,2021,
133,단행본,인구 대역전 : 인플레이션이 온다,"Goodhart, C. A. E. (Charles Albert Eric)",생각의힘,304.62 021가,2021,
134,단행본,"로코노믹스 : 음악 산업에서는 누가, 어떻게 돈을 버는가","Krueger, Alan B",BeThink : 리디,338.4778 021가,2021,
135,단행본,(앞으로 10년) 세상을 바꿀 거대한 변화 7가지 : 넥스트 노멀 시대의 경제와 금융의 미래,임동민,메이트북스 : 원앤원콘텐츠그룹,303.4 021갸,2021,
136,단행본,도시 경영의 옷 입다,우동기 禹東琪,영남대학교출판부,352.16 021가,2021,
137,단행본,(팬데믹 다음 세상을 위한) 텐 레슨 : 개인의 운명과 세상의 방향을 결정지을 10가지 제언,"Zakaria, Fareed",민음사,303.49 021거,2021,
138,단행본,"리페어 컬처 : 쓰고 버리는 시대, 잃어버린 것들을 회복하는 삶","Heckl, Wolfgang M.",양철북,643.7 021가,2021,
139,단행본,빅 컨버세이션 : 대담한 대담,황창규 黃昌圭,시공사,650.1 021모,2021,
140,단행본,마음 감옥에서 탈출했습니다 : 죽음의 수용소에서도 내면의 빛을 보는 법에 대하여,"Eger, Edith Eva",위즈덤하우스,150.92 Eg22 021가,2021,
141,단행본,"페니스, 그 진화와 신화 : 뒤집어지고 자지러지는 동물계 음경 이야기","Willingham, Emily Jane",뿌리와이파리,591.46 021가,2021,
142,단행본,오염된 재판 : 과학수사의 추악한 이면과 DNA 검사가 밝혀낸 250가지 진실,"Garrett, Brandon",한겨레출판,법학도 345.73064 021가,2021,
