검색어 ,,,,,,,
총 333건 중 333건 출력,,,,,,,
No.,자료 유형,서명,저자,출판사,청구기호,출판년,수록 매체
213,단행본,초예측 : 세계 석학 8인에게 인류의 미래를 묻다,"Harari, Yuval N",웅진지식하우스,303.49 019가,2019,
214,단행본,우리가 빛의 속도로 갈 수 없다면 : 김초엽 소설,김초엽,허블,811.37 김초엽 우019가,2019,
215,단행본,2050 거주불능 지구 : 한계치를 넘어 종말로 치닫는 21세기 기후재난 시나리오,"Wallace-Wells, David",추수밭,304.28 020가,2020,
216,단행본,뉴타입의 시대 : 예측 불가능한 미래를 돌파하는 24가지 생각의 프레임,산구주 山口周,인플루엔셜,153.42 020갸,2020,
217,단행본,당신이 옳다 : 정혜신의 적정심리학,정혜신,해냄,150.2 018거,2018,
218,단행본,"제국대학의 조센징 : 대한민국 엘리트의 기원, 그들은 돌아와서 무엇을 하였나?",정종현,Humanist,378.53 019가,2019,
219,단행본,지구에서 한아뿐 : 정세랑 장편소설,정세랑,난다,811.37 정세랑 지019가,2019,
220,단행본,시선으로부터 : 정세랑 장편소설,정세랑 鄭世朗,문학동네,811.37 정세랑 시020가,2020,
221,단행본,미드나잇 라이브러리,"Haig, Matt",인플루엔셜,823 H125m 021가,2021,
222,단행본,내게 무해한 사람 : 최은영 소설,최은영,문학동네,811.37 최은영 내018가,2018,
223,단행본,생명 가격표 : 각자 다른 생명의 값과 불공정성에 대하여,"Friedman, Howard Steven",민음사,305 021겨,2021,
224,단행본,백년운동 : 척추·관절 아프지 않게 100세까지 운동하는 방법,정선근,Untangling : 아티잔,613.71 019고,2019,
225,단행본,세습 중산층 사회 : 90년대생이 경험하는 불평등은 어떻게 다른가,조귀동,생각의힘,305.50951 020가,2020,
226,단행본,타이탄의 도구들 : 1만 시간의 법칙을 깬 거인들의 61가지 전략,"Ferriss, Timothy",토네이도,158.1 017그,2017,
227,단행본,산 자들 : 장강명 연작소설,장강명,민음사,811.37 장강명 산019가,2019,
228,단행본,온라인 쇼핑의 종말 : 리테일 혁명이 만드는 새로운 미래,"Jongen, Wijnand",지식노마드,381.142 019가,2019,
229,단행본,"지도 위의 붉은 선 : 지도가 말하는 사람, 국경, 역사 그 운명의 선을 따라나서는 지정학 여행","Rampini, Federico",갈라파고스,320.12 022거,2022,
230,단행본,학살의 제국과 실패국가 : 한일관계의 불편한 기원,손기영,고려대학교출판문화원,327.51053 022가,2022,
231,단행본,딥 에콜로지 : 자연과의 화해를 위한 지혜의 생태학,"Devall, Bill",원더박스,333.7 022가,2022,
232,단행본,대약탈박물관 : 제국주의는 어떻게 식민지 문화를 말살시켰나,"Hicks, Dan",책과함께,069.4 022가,2022,
233,단행본,사랑의 현상학 : 환상 없는 사랑을 위하여,"Schmitz, Hermann",그린비,128.46 022가,2022,
234,단행본,슬픔 이후의 슬픔 : 상실의 아픔과 함께 삶으로 나아가는 법,"Edelman, Hope",다산초당,155.93 022가,2022,
235,단행본,일상 감각 연구소 : 먹고 자고 일하는 인간의 감각에 관한 크고 작은 모든 지식,"Spence, Charles",어크로스,152.1 022가,2022,
236,단행본,여성은 순종적으로 태어나지 않는다,"Garcia, Manon",에코리브르,155.333 022가,2022,
237,단행본,굿모닝 인문학 : 매일 아침 생각의 문을 열어 주는 상쾌한 문장들,공형조,레몬북스,001.3 022고,2022,
238,단행본,"AI 메이커스, 인공지능 전쟁의 최전선","Metz, Cade",김영사,006.3 022겨,2022,
239,단행본,새들의 방식 : 새들은 어떻게 말하고 일하고 놀고 양육하고 생각할까?,"Ackerman, Jennifer",까치,598.15 022가,2022,
240,단행본,일하는 딸 : 일하면서 부모를 돌보는 여성들을 위한 안내서,"O'Donnell, Liz (Elizabeth)",심플라이프,305.260973 022가,2022,
241,단행본,만들어진 유대인,"Sand, Shlomo",사월의책,305.8924 022가,2022,
242,단행본,"젊고 아픈 여자들 : 건강 문제를 겪는 젊은 여성들은 일, 우정, 연애 그리고 아무렇지도 않아 보여야 한다는 압박을 어떻게 헤쳐나가나","Hirsch, Michele Lent",마티,305.908 022가,2022,
243,단행본,"역사에 없는 사람들의 미국사 : 밀려오고 적응하고 내쫓기며... 이민자들이 만든 나라, 미국","Takaki, Ronald T.",갈라파고스,305.800973 022가,2022,
244,단행본,이기적 인류의 공존 플랜 : 21세기를 위한 새로운 사회계약,"Shafik, Minouche",까치,320.011 022가,2022,
245,단행본,"나는, 휴먼 : 장애 운동가 주디스 휴먼 자서전","Heumann, Judith E",사계절,362.4092 H482 022가,2022,
246,단행본,미래가 우리 손을 떠나기 전에 : 나오미 클라인과 함께하는 기후행동,"Klein, Naomi",열린책들,363.73874 022규,2022,
247,단행본,최초의 질문 : 기술 선진국의 조건,이정동,민음사,338.0951 022갸,2022,
248,단행본,인터랙 코드 : 4차 산업혁명을 넘어 인터랙 시대로,강정규,매일경제신문사 : 매경출판,338.544 022그,2022,
249,단행본,모던의 시대 우리집 : 레트로의 기원,최예선,모요사,720.951 022갸,2022,
250,단행본,프렌즈  : 과학이 우정에 대해 알려줄 수 있는 가장 중요한 것,"Dunbar, R. I. M. (Robin Ian MacDonald)",어크로스,158.25 022가,2022,
251,단행본,테크놀로지의 정치 : 유전자 조작에서 디지털 프라이버시까지,"Jasanoff, Sheila",창비,174.96 022가,2022,
252,단행본,행복한 나라의 불행한 사람들 : 복지국가 스웨덴은 왜 실패하고 있는가,박지우,추수밭,301.09485 022가,2022,
253,단행본,아내를 모자로 착각한 남자,"Sacks, Oliver",Alma,616.8 016가,2016 / 개정1판,
254,단행본,젠더와 사회 : 15개의 시선으로 읽는 여성과 남성,김현미 金賢美,동녘,305.4 014갸,2014,
255,단행본,돈의 속성,김승호,Snowfox,332.024 020느,2020,
256,단행본,부자의 언어 : 어떻게 살아야 부자가 되는지 묻는 아들에게,"Soforic, John",윌북,332.024 020나,2020,
257,단행본,아주 작은 습관의 힘 : 최고의 변화는 어떻게 만들어지는가,"Clear, James",비즈니스북스,155.24 019갸,2019,
258,단행본,(역사를 바꾼) 위대한 이인자 : 절대권력을 조종하며 역사를 바꾼 킹메이커들,송은명,시아,920.02 022가,2022,
259,단행본,어떤 선택의 재검토 : 최상을 꿈꾸던 일은 어떻게 최악이 되었는가,"Gladwell, Malcolm",김영사,940.544973 022가,2022,
260,단행본,냉전과 새마을 : 동아시아 냉전의 연쇄와 분단국가체제,허은 許殷,창비,951.77 022가,2022,
261,단행본,슬픔을 공부하는 슬픔 : 신형철 산문,신형철,한겨레출판,811.4 신형철 슬018가,2018,
262,단행본,철도원 삼대 : 황석영 장편소설,황석영 黃晳暎,창비,811.37 황석영 철020가,2020,
263,단행본,왜 세계의 절반은 굶주리는가? : 유엔 식량특별조사관이 아들에게 들려주는 기아의 진실,"Ziegler, Jean",갈라파고스,363.8 007갸,2007,초록
264,단행본,롤리타 : 블라디미르 나보코프 장편소설,"Nabokov, Vladimir Vladimirovich",문학동네,823 N112L 013가,2013,
265,단행본,보통의 존재 : 이석원 산문집,이석원,달,811.4 이석원 보009가,2010 / 2판,
266,단행본,"미움받을 용기. 2, 사랑과 진정한 자립에 대한 아들러의 가르침",안견일랑 岸見一郞,인플루엔셜,158.1 014무,2016,
267,단행본,이상한 정상 가족 : 자율적 개인과 열린 공동체를 그리며,김희경,동아시아,306.85 017규,2017,
268,단행본,"지적 대화를 위한 넓고 얕은 지식 : 철학, 과학, 예술, 종교, 신비 편",채사장,한빛비즈,001 015가,2015,
269,단행본,연금술사 : 파울로 코엘료 장편소설,"Coelho, Paulo",문학동네,869.3 C65a 001가,2001,
270,단행본,포노 사피엔스 : 스마트폰이 낳은 신인류,최재붕 崔在鵬,쌤앤파커스,303.4833 019갸,2019,
271,단행본,기획의 정석 : 무에서 유를 만드는 10가지 빡신 기획 습관,박신영,세종서적,658.4012 013고,2013,
272,단행본,더 해빙 : 부와 행운을 끌어당기는 힘,이서윤,수오서재,650.1 020니,2020,
273,단행본,다산의 마지막 공부 : 마음을 지켜낸다는 것,조윤제,청림출판,181.134 정약용 Y018겨,2018,
274,단행본,(50대 사건으로 보는) 돈의 역사,홍춘욱,Rok Media,332.49 019갸,2019,
275,단행본,"그릿 : IQ, 재능, 환경을 뛰어넘는 열정적 끈기의 힘","Duckworth, Angela",비즈니스북스,158.1 016샤,2016,
276,단행본,언컨택트 : 더 많은 연결을 위한 새로운 시대 진화 코드,김용섭,퍼블리온,303.485 020가,2020,
277,단행본,"지적 대화를 위한 넓고 얕은 지식 : 역사, 경제, 정치, 사회, 윤리 편",채사장,한빛비즈,001 014갸,2014,
278,단행본,침묵의 봄,"Carson, Rachel",에코리브르,363.7384 011가,2011,
279,단행본,바깥은 여름 : 김애란 소설,김애란 金愛爛,문학동네,811.37 김애란 바017가,2017,
280,단행본,봉제인형 살인사건 : 다니엘 콜 장편소설,"Cole, Daniel",Book Plaza,823 C674r 017가,2017,
281,단행본,오리지널스 : 어떻게 순응하지 않는 사람들이 세상을 움직이는가,"Grant, Adam M",한국경제신문,153.35 016가,2016,
282,단행본,누가 지구를 망치는가 : 1%가 기획한 환상에 대하여,"Shiva, Vandana",책과함께,339.2 022가,2022,
283,단행본,"룬샷 : 전쟁, 질병, 불황의 위기를 승리로 이끄는 설계의 힘","Bahcall, Safi",흐름출판,658.4094 020가,2020,
284,단행본,1984,"Orwell, George",민음사,823 Or9n 003가,2003,"초록 , 목차"
285,단행본,"최종 경고 : 6도의 멸종 : 기후변화의 종료, 기후붕괴의 시작","Lynas, Mark",세종,363.73874 022가,2022,
286,단행본,이방인,"Camus, Albert",책세상,843 C159e 015거,2015,
287,단행본,"푸코, 바르트, 레비스트로스, 라캉 쉽게 읽기 : 교양인을 위한 구조주의 강의",내전수 內田樹,갈라파고스,149.96 010갸,2010,
288,단행본,소크라테스의 변명,Plato,문예출판사,UML 184 99가,1999 / 제2판,
289,단행본,호밀밭의 파수꾼,"Salinger, J. D. (Jerome David)",민음사,823 Sa33c 001가,2001,
290,단행본,여행의 이유 : 김영하 산문,김영하 金英夏,문학동네,811.4 김영하 여019가,2019,
291,단행본,연애의 행방,동야규오 東野圭吾,소미미디어,813.37 동야규 연018가,2018,
292,단행본,호모 데우스 : 미래의 역사,"Harari, Yuval N",김영사,909.83 017가,2017,
293,단행본,관계의 미술사 : 현대 미술의 거장을 탄생시킨 매혹의 순간들,"Smee, Sebastian",Angle Books,700.92 021거,2021,
294,단행본,인간 실격,태재치 太宰治,민음사,813.37 태재치 인004가,2004,"초록 , 목차"
295,단행본,방구석 미술관 : 가볍고 편하게 시작하는 유쾌한 교양 미술,조원재,블랙피쉬 : 백도씨,750.2 018교,2018,
296,단행본,"사람, 장소, 환대",김현경,문학과지성사,301 015갸,2015,
297,단행본,"코로나 사피엔스 : 문명의 대전환, 대한민국 대표 석학 6인이 신인류의 미래를 말한다",최재천,인플루엔셜,303.485 020갸,2020,
298,단행본,우리는 사랑일까 : 알랭 드 보통 장편소설,"De Botton, Alain",은행나무,UML 823 D352r 005가,2005,"초록 , 목차"
299,단행본,소년이 온다 : 한강 장편소설,한강 韓江,창비,811.37 한강 소014가,2014,
300,단행본,신경 끄기의 기술 : 인생에서 가장 중요한 것만 남기는 힘,"Manson, Mark",갤리온 : 웅진씽크빅,158.1 017바,2017,
301,단행본,(지적이고 아름다운 삶을 위한) 라틴어 수업,한동일,흐름출판,811.8 한동일 라017가,2017,
302,단행본,철학은 어떻게 삶의 무기가 되는가 : 불확실한 삶을 돌파하는 50가지 생각 도구,산구주 山口周,다산초당,102 019가,2019,
303,단행본,냉정과 열정사이 : Rosso,강국향직 江國香織,소담출판사,813.37 강국향 냉000가,2000,
304,단행본,피로사회,한병철,문학과지성사,301.01 012갸,2012,
305,단행본,(클라우스 슈밥의) 제4차 산업혁명,"Schwab, Klaus",새로운현재,303.483 016교,2016,
306,단행본,서양 미술사,"Gombrich, E. H. (Ernst Hans)",예경,최종욱 709 97가,1997,
307,단행본,개인주의자 선언 : 판사 문유석의 일상유감,문유석,문학동네,300.2 015너,2015,
308,단행본,"시민의 교양 : 지금, 여기, 보통 사람들을 위한 현실 인문학",채사장,웨일북,001.3 015르,2015,
309,단행본,참을 수 없는 존재의 가벼움,"Kundera, Milan",민음사,UML 808.8 98가,2009 / 개정판,
310,단행본,과학혁명의 구조,"Kuhn, Thomas S",까치,501 013겨,2013 / 제4판,
311,단행본,어떻게 원하는 것을 얻는가 : 13년 연속 와튼스쿨 최고 인기 강의,"Diamond, Stuart",8,302.3 011거,2011,URL
312,단행본,넛지 : 똑똑한 선택을 이끄는 힘,"Thaler, Richard H.",리더스북,330.019 009가,2009,
313,단행본,돈으로 살 수 없는 것들 : 무엇이 가치를 결정하는가,"Sandel, Michael J",와이즈베리,BA 174 012가,2012,
314,단행본,살인자의 기억법 : 김영하 장편소설,김영하 金英夏,문학동네,811.37 김영하 살013가,2013,
315,단행본,82년생 김지영 : 조남주 장편소설,조남주,민음사,811.37 조남주 팔016가,2016,
316,단행본,이기적 유전자 : 진화론의 새로운 패러다임,"Dawkins, Richard",을유문화사,576.5 010고,2010 / 전면개정판,
317,단행본,오베라는 남자 : 프레드릭 배크만 장편소설,"Backman, Fredrik",다산책방,839.73 B128m 015가,2015,
318,단행본,"자존감 수업 : 하루에 하나, 나를 사랑하게 되는 자존감 회복 훈련",윤홍균,심플라이프,155.2 016교,2016,
319,단행본,생각에 관한 생각 : 우리의 행동을 지배하는 생각의 반란,"Kahneman, Daniel",김영사,153.42 012갸,2012,
320,단행본,채식주의자 : 한강 연작소설,한강 韓江,창비,811.37 한강 채007가,2007,
321,단행본,코스모스,"Sagan, Carl",사이언스북스,520 006거,2006,초록
322,단행본,"죽음의 수용소에서 : 당신이 가진 최고의, 그리고 최후의 자유는 바로 선택할 수 있는 자유이다","Frankl, Viktor E. (Viktor Emil)",청아출판사,150.195 005거,2005,"초록 , 목차"
323,단행본,"랩 걸 : 나무, 과학 그리고 사랑","Jahren, Hope",alma,570.92 J198 017가,2017,
324,단행본,아내를 모자로 착각한 남자,"Sacks, Oliver W",이마고,616.8 006가,2006,"초록 , 목차"
325,단행본,행복의 기원 : 인간의 행복은 어디서 오는가,서은국 徐恩國,21세기북스,152.42 014가,2014,
326,단행본,"사피엔스 : 유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문","Harari, Yuval N",김영사,909 015느,2015,
327,단행본,(플라톤의) 국가(政體),Plato,서광사,321.07 P697r 005갸,2005 / 개정증보판,"초록 , 목차"
328,단행본,7년의 밤 : 정유정 장편소설,정유정 丁柚井,은행나무,811.37 정유정 칠011가,2011,
329,단행본,정의란 무엇인가,"Sandel, Michael J",김영사,ZZ 172.2 010가,2010,
330,단행본,미움받을 용기 : 자유롭고 행복한 삶을 위한 아들러의 가르침,안견일랑 岸見一郞,인플루엔셜,158.1 014무,2014,
331,단행본,나미야 잡화점의 기적 : 히가시노 게이고 장편소설,동야규오 東野圭吾,현대문학,813.37 동야규 나012가,2012,
332,단행본,왜 나는 너를 사랑하는가,"De Botton, Alain",청미래,823 D352e 007가,2007 / 개정판,
333,단행본,어떻게 살 것인가,유시민,아포리아,300.2 013가,2013,
