,주류,제목,저자,링크,출판사,출판 연도
434,500,(세상을 바꾼) 과학이야기 : 과학으로 세상 읽기,권기균,https://library.yonsei.ac.kr/search/detail/CATTOT000002078230,종이책,2021
435,500,(스쿠그의) 기기분석의 이해,"Skoog, Douglas A. (Douglas Arvid)",https://library.yonsei.ac.kr/search/detail/CATTOT000002149586,센게이지러닝코리아,2019
436,500,(알기 쉬운) 메타분석의 이해,황성동,https://library.yonsei.ac.kr/search/detail/CATTOT000000908096,학지사,2014
437,500,(캠벨) 생명과학 : 요점과 문제풀이,"Campbell, Neil A",https://library.yonsei.ac.kr/search/detail/CATTOT000001811901,바이오사이언스출판,2016
438,500,(학술논문 작성을 위한) SPSS 초보 길라잡이,건강가정컨설팅연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000001970740,시그마프레스,2019
439,500,A book of set theory,"Pinter, Charles C.",https://library.yonsei.ac.kr/search/detail/CATTOT000001778389,"Dover Publications, Inc.",2014
440,500,Advanced engineering mathematics,"Kreyszig, Erwin",https://library.yonsei.ac.kr/search/detail/CATTOT000001618113,John Wiley,2011
441,500,Advanced engineering mathematics,"Kreyszig, Erwin",https://library.yonsei.ac.kr/search/detail/CATTOT000001588583,John Wiley,2006
442,500,Bootstrap methods and their application,"Davison, A. C. (Anthony Christopher)",https://library.yonsei.ac.kr/search/detail/CATTOT000001549222,Cambridge University Press,1997
443,500,Calculus : early transcendentals,"Stewart, James D",https://library.yonsei.ac.kr/search/detail/CATTOT000002099247,Cengage Learning,2022
444,500,Genetics : from genes to genomes,"Goldberg, Michael L",https://library.yonsei.ac.kr/search/detail/CATTOT000002089556,McGraw Hill Education,2021
445,500,Introduction to set theory,"Hrbacek, Karel",https://library.yonsei.ac.kr/search/detail/CATTOT000001589170,Taylor & Francis,1999
446,500,Kreyszig 공업수학 : 10판 문제풀이 해설,"Kreyszig, Erwin",https://library.yonsei.ac.kr/search/detail/CATTOT000002148534,텍스트북스,2021
447,500,Molecular biology : principles of genome function,"Craig, Nancy Lynn",https://library.yonsei.ac.kr/search/detail/CATTOT000001872133,Oxford University Press,2014
448,500,STATA : 기초통계와 회귀분석 : 15 version,민인식,https://library.yonsei.ac.kr/search/detail/CATTOT000001913728,지필미디어,2018
449,500,STATA 고급 패널데이터 분석,민인식,https://library.yonsei.ac.kr/search/detail/CATTOT000000836893,지필미디어,2012
450,500,Set theory : a first course,"Cunningham, Daniel W",https://library.yonsei.ac.kr/search/detail/CATTOT000001841448,Cambridge University Press,2016
451,500,과학과 근대세계,"Whitehead, Alfred North",https://library.yonsei.ac.kr/search/detail/CATTOT000000234623,서광사,2008
452,500,과학을 보다 : 문과생도 과알못도 재미있게 읽는 기발하고 수상한 과학책,김범준,https://library.yonsei.ac.kr/search/detail/CATTOT000002177414,알파미디어,2023
453,500,괴델,"Casti, J. L",https://library.yonsei.ac.kr/search/detail/CATTOT000000022510,몸과마음,2002
454,500,기초 전자기학 : Q&A로 쉽게 배우는 기본 원리,곽동주,https://library.yonsei.ac.kr/search/detail/CATTOT000000856964,한빛아카데미,2013
455,500,기초전자기학,"Griffiths, David J. (David Jeffery)",https://library.yonsei.ac.kr/search/detail/CATTOT000000875407,진샘미디어,2014
456,500,논문작성을 위한 SPSS 통계분석 쉽게 배우기,유성모 兪誠模,https://library.yonsei.ac.kr/search/detail/CATTOT000000860654,황소걸음 아카데미,2013
457,500,눈 먼 시계공 : 진화론은 세계가 설계되지 않았음을 어떻게 밝혀내는가,"Dawkins, Richard",https://library.yonsei.ac.kr/search/detail/CATTOT000000122047,사이언스북스,2004
458,500,대기역학,"Holton, James R",https://library.yonsei.ac.kr/search/detail/CATTOT000000882859,시그마프레스,2014
459,500,동결조건에서 용존 Mn(Ⅱ)의 농도와 온도에 따른 망간의 산화반응,이지수,https://library.yonsei.ac.kr/search/detail/CATTOT000002022618,연세대학교 대학원,2020
460,500,떨림과 울림 : 물리학자 김상욱이 바라본 우주와 세계 그리고 우리,김상욱,https://library.yonsei.ac.kr/search/detail/CATTOT000001924697,동아시아,2018
461,500,마그네슘 합금 산업폐기물을 이용한 수용액 내 6가 크롬 환원제거 연구,유현규,https://library.yonsei.ac.kr/search/detail/CATTOT000002071720,연세대학교 대학원,2021
462,500,무기화학,"Weller, Mark T",https://library.yonsei.ac.kr/search/detail/CATTOT000002003193,자유아카데미,2020
463,500,미생물생리학,김병홍 金炳弘,https://library.yonsei.ac.kr/search/detail/CATTOT000000227004,아카데미서적,2003
464,500,미적분의 힘 : 복잡한 세상을 푸는 단순하고 강력한 도구,"Strogatz, Steven H. (Steven Henry)",https://library.yonsei.ac.kr/search/detail/CATTOT000002074302,해나무 : 북하우스퍼블리셔스,2021
465,500,바이러스학,류왕식,https://library.yonsei.ac.kr/search/detail/CATTOT000000860684,라이프사이언스,2013
466,500,분자 세포 생물학,"Lodish, Harvey F",https://library.yonsei.ac.kr/search/detail/CATTOT000002143155,월드사이언스,2023
467,500,사진측량 및 원격탐측,한승희,https://library.yonsei.ac.kr/search/detail/CATTOT000002195996,구미서관,2021
468,500,선형대수학,"Poole, David",https://library.yonsei.ac.kr/search/detail/CATTOT000000750534,경문사,2010
469,500,선형대수학,"Lang, Serge",https://library.yonsei.ac.kr/search/detail/CATTOT000000911924,경문사,2015
470,500,선형대수학,"Poole, David",https://library.yonsei.ac.kr/search/detail/CATTOT000001782837,경문사,2016
471,500,수리통계학,김우철,https://library.yonsei.ac.kr/search/detail/CATTOT000002039691,민영사,2021
472,500,수리통계학,김우철,https://library.yonsei.ac.kr/search/detail/CATTOT000000814777,민영사,2012
473,500,수리통계학 개론,"Hogg, Robert V",https://library.yonsei.ac.kr/search/detail/CATTOT000000844020,피어슨에듀케이션코리아,2012
474,500,수리통계학 개론,"Hogg, Robert V",https://library.yonsei.ac.kr/search/detail/CATTOT000002048214,경문사,2021
475,500,수학적 발견의 논리,"Lakatos, Imre",https://library.yonsei.ac.kr/search/detail/CATTOT000000715306,아르케,2001
476,500,숨겨진 우주 : 비틀린 5차원 시공간과 여분 차원의 비밀을 찾아서,"Randall, Lisa",https://library.yonsei.ac.kr/search/detail/CATTOT000000217375,사이언스북스,2008
477,500,스튜어트 미분적분학,"Stewart, James",https://library.yonsei.ac.kr/search/detail/CATTOT000001840865,북스힐,2017
478,500,시계열 데이터 분석 : 16-17 version,민인식,https://library.yonsei.ac.kr/search/detail/CATTOT000002104397,지필미디어,2022
479,500,아이작 뉴턴의 광학,"Newton, Isaac",https://library.yonsei.ac.kr/search/detail/CATTOT000001926323,한국문화사,2018
480,500,유전자 사회 : 인간 사회보다 합리적인 유전자들의 세상,"Yanai, Itai",https://library.yonsei.ac.kr/search/detail/CATTOT000001826717,을유문화사,2016
481,500,이기적 유전자,"Dawkins, Richard",https://library.yonsei.ac.kr/search/detail/CATTOT000001923607,을유문화사,2018
482,500,이휘소 평전 : 한국이 낳은 천재 물리학자,강주상 姜周相,https://library.yonsei.ac.kr/search/detail/CATTOT000001849928,사이언스북스,2017
483,500,중세 동물지,주나미,https://library.yonsei.ac.kr/search/detail/CATTOT000001873513,오롯,2017
484,500,집합론,"Lin, You-Feng",https://library.yonsei.ac.kr/search/detail/CATTOT000000813098,경문사,2011
485,500,캐런 바라드,박신현,https://library.yonsei.ac.kr/search/detail/CATTOT000002138290,컴북스캠퍼스,2023
486,500,코스모스,"Sagan, Carl",https://library.yonsei.ac.kr/search/detail/CATTOT000000188162,사이언스북스,2006
487,500,트러블과 함께하기 : 자식이 아니라 친척을 만들자,"Haraway, Donna Jeanne",https://library.yonsei.ac.kr/search/detail/CATTOT000002068330,마농지,2021
488,500,필수 세포생물학,"Alberts, Bruce",https://library.yonsei.ac.kr/search/detail/CATTOT000002162248,라이프사이언스,2019
489,500,현대물리학,"Beiser, Arthur",https://library.yonsei.ac.kr/search/detail/CATTOT000000229230,교보문고,2005
490,500,화공유체역학,"De Nevers, Noel",https://library.yonsei.ac.kr/search/detail/CATTOT000002140958,한티에듀,2022
491,500,화공유체역학,"De Nevers, Noel",https://library.yonsei.ac.kr/search/detail/CATTOT000000832714,한티미디어,2012
492,500,확률과정론 입문,이외숙 李外淑,https://library.yonsei.ac.kr/search/detail/CATTOT000002158404,경문사,2020
493,500,회귀분석,박성현 朴聖炫,https://library.yonsei.ac.kr/search/detail/CATTOT000000717597,민영사,1998
494,500,(Brock의) 미생물학. [1] 1~3단원,"Madigan, Michael T.",https://library.yonsei.ac.kr/search/detail/CATTOT000001804390,바이오사이언스출판,2016
495,500,(Brock의) 핵심미생물학,"Madigan, Michael T.",https://library.yonsei.ac.kr/search/detail/CATTOT000002151036,바이오사이언스출판,2020
496,500,(Cartoon highschool) 통합과학 완전정복,신인철,https://library.yonsei.ac.kr/search/detail/CATTOT000002007262,마리기획,2020
497,500,(Cheng의) 전자기학,"Cheng, David K. (David Keun)",https://library.yonsei.ac.kr/search/detail/CATTOT000000850543,성진미디어,2013
498,500,"(Kreyszig 공업수학, 개정9판) 문제풀이 해설","Kreyszig, Erwin",https://library.yonsei.ac.kr/search/detail/CATTOT000000161452,범한서적주식회사,2007
499,500,(Neamen의) 반도체 물성과 소자,"Neamen, Donald A",https://library.yonsei.ac.kr/search/detail/CATTOT000000810151,McGraw-Hill Korea,2012
500,600,생각이 너무 많은 어른들을 위한 심리학 : 후회 없는 삶을 살고 싶은 당신에게 해 주고 싶은 말들,김혜남,https://library.yonsei.ac.kr/search/detail/CATTOT000002167841,메이븐,2023
501,600,아내를 모자로 착각한 남자,"Sacks, Oliver",https://library.yonsei.ac.kr/search/detail/CATTOT000001757335,알마,2015
502,600,세이노의 가르침 : 피보다 진하게 살아라,세이노,https://library.yonsei.ac.kr/search/detail/CATTOT000002142320,데이원,2023
503,600,원씽 : 복잡한 세상을 이기는 단순함의 힘,"Keller, Gary",https://library.yonsei.ac.kr/search/detail/CATTOT000000862946,비즈니스북스,2013
504,600,케이스 인 포인트,"Cosentino, Marc",https://library.yonsei.ac.kr/search/detail/CATTOT000002035431,Insightbay,2020
505,600,Changing organizational culture and leadership in Korean companies,김종남,https://library.yonsei.ac.kr/search/detail/CATTOT000002188669,Meta Books,2023
506,600,기계공학제도,김종원,https://library.yonsei.ac.kr/search/detail/CATTOT000000227627,문운당,2008
507,600,"똑똑한 사람은 어떻게 생각하고 질문하는가 : 사고력 실종의 시대, 앞서가는 사람의 생존 전략",이시한,https://library.yonsei.ac.kr/search/detail/CATTOT000002188051,북플레저 : 책 읽어주는 남자,2024
508,600,이차전지 승자의 조건 : 배터리가 주도하는 400조 거대 시장의 패권 경쟁,정경윤,https://library.yonsei.ac.kr/search/detail/CATTOT000002143734,길벗,2023
509,600,"인스타 브레인 : 몰입을 빼앗긴 시대, 똑똑한 뇌 사용법","Hansen, Anders",https://library.yonsei.ac.kr/search/detail/CATTOT000002006645,동양북스,2020
510,600,일류의 조건,재등효 齋藤孝,https://library.yonsei.ac.kr/search/detail/CATTOT000002194727,필름,2024
511,600,중환자실 간호사의 치료적 의사소통 수행 수준 및 관련요인,양유리,https://library.yonsei.ac.kr/search/detail/CATTOT000000865036,연세대학교 대학원,2013
512,600,"취업의 뼈대. 1, 상경계열",최성욱,https://library.yonsei.ac.kr/search/detail/CATTOT000002105283,이씨책방,2022
513,600,핵심 기업재무,"Berk, Jonathan B.",https://library.yonsei.ac.kr/search/detail/CATTOT000001924009,시그마프레스,2018
514,600,(Garrison) 원가관리회계,"Garrison, Ray H",https://library.yonsei.ac.kr/search/detail/CATTOT000002073515,지필미디어,2021
515,600,(Haykin의) 통신이론,"Haykin, Simon S.",https://library.yonsei.ac.kr/search/detail/CATTOT000000197649,한티미디어,2007
516,600,CAD를 이용한 공학제도,"Giesecke, Frederick Ernst",https://library.yonsei.ac.kr/search/detail/CATTOT000000714725,교보문고,2001
517,600,Fundamentals of engineering thermodynamics,"Moran, Michael J",https://library.yonsei.ac.kr/search/detail/CATTOT000002078365,Wiley,2018
518,600,Introduction to chemical engineering thermodynamics,"Smith, J. M. (Joseph Mauk)",https://library.yonsei.ac.kr/search/detail/CATTOT000001895420,McGraw-Hill Education,2018
519,600,Think public relations,"Wilcox, Dennis L",https://library.yonsei.ac.kr/search/detail/CATTOT000002013270,Pearson,2013
520,600,X-ray diffraction for materials research : from fundamentals to applications,이명규 李明圭,https://library.yonsei.ac.kr/search/detail/CATTOT000001822789,Apple Academic Press,2016
521,600,내가 가진 것을 세상이 원하게 하라 : 최인아 대표가 축적한 일과 삶의 인사이트,최인아,https://library.yonsei.ac.kr/search/detail/CATTOT000002149534,해냄,2023
522,600,당신도 느리게 나이 들 수 있습니다,정희원,https://library.yonsei.ac.kr/search/detail/CATTOT000002136689,더퀘스트 : 길벗,2023
523,600,리더를 키우는 생각의 힘 : 차이를 만드는 사고법,이학영,https://library.yonsei.ac.kr/search/detail/CATTOT000002012266,한국경제신문,2020
524,600,소비자행동 : 마케팅전략적 접근,이학식 李學湜,https://library.yonsei.ac.kr/search/detail/CATTOT000002058038,집현재,2020
525,600,슈퍼노멀 : 폭발적 성과를 만드는 평범한 사람들,주언규,https://library.yonsei.ac.kr/search/detail/CATTOT000002165390,웅진지식하우스,2023
526,600,역행자 : 돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,자청,https://library.yonsei.ac.kr/search/detail/CATTOT000002154189,웅진지식하우스,2023
527,600,우리는 왜 잠을 자야 할까 : 수면과 꿈의 과학,"Walker, Matthew P",https://library.yonsei.ac.kr/search/detail/CATTOT000001943376,열린책들,2019
528,600,우울할 땐 뇌 과학 : 최신 뇌 과학과 신경생물학은 우울증을 어떻게 해결하는가,"Korb, Alex",https://library.yonsei.ac.kr/search/detail/CATTOT000001890686,심심 : 푸른숲,2018
529,600,의류소재의 이해와 평가 : 의류 시험법,김은애 金銀愛,https://library.yonsei.ac.kr/search/detail/CATTOT000000600177,敎文社,1997
530,600,좋은 기분 : 일과 삶을 돌보는 태도에 대하여,박정수,https://library.yonsei.ac.kr/search/detail/CATTOT000002180428,북스톤,2024
531,600,폐배터리 용어사전 : 배터리성능평가사가 알아야 할 기본상식,도정국,https://library.yonsei.ac.kr/search/detail/CATTOT000002177397,한국EV기술인협회 : 도드림미디어,2023
532,600,(2023 최신판) GSAT 삼성직무적성검사 실전모의고사,에듀윌 취업연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000002167633,Eduwill,2023
533,600,(2024 final) 파이널 세무회계 연습,주민규,https://library.yonsei.ac.kr/search/detail/CATTOT000002198544,세경북스,2024
534,600,(Beer의 알기 쉬운) 정역학 : SI units,"Beer, Ferdinand P. (Ferdinand Pierre)",https://library.yonsei.ac.kr/search/detail/CATTOT000001840793,맥그로힐에듀케이션코리아,2017
535,600,(Beer의) 재료역학,"Beer, Ferdinand P. (Ferdinand Pierre)",https://library.yonsei.ac.kr/search/detail/CATTOT000000908009,맥그로힐에듀케이션코리아,2014
536,600,(CPA 1차 최적서) 객관식 원가관리회계 : 이론편,임세진,https://library.yonsei.ac.kr/search/detail/CATTOT000002130538,파란,2022
537,600,(CPA~2023 공인회계사 2차 기출문제집) 재무관리 : 해답편,김민환,https://library.yonsei.ac.kr/search/detail/CATTOT000002193241,파란,2024
538,600,(Holman) 열전달,"Holman, J. P. (Jack Philip)",https://library.yonsei.ac.kr/search/detail/CATTOT000000748691,텍스트북스,2010
539,600,(SAS와 메타분석을 활용한) 한번에 적용하는 의학보건통계,히든그레이스. 데이터분석팀,https://library.yonsei.ac.kr/search/detail/CATTOT000002145414,한빛아카데미,2023
540,600,(공인회계사 2차) 재무회계 기출풀이집,김기동,https://library.yonsei.ac.kr/search/detail/CATTOT000002174665,샘앤북스,2023
541,600,(기대를 현실로 바꾸는) 혼자 있는 시간의 힘,재등효 齋藤孝,https://library.yonsei.ac.kr/search/detail/CATTOT000001742043,위즈덤하우스,2015
542,600,(몸과 마음을 잇는) 트라우마 치유,"Levine, Peter A",https://library.yonsei.ac.kr/search/detail/CATTOT000000896690,학지사,2014
543,600,(새로운) 의류소재학,조길수 趙吉洙,https://library.yonsei.ac.kr/search/detail/CATTOT000000150921,동서문화원,2007
544,600,(새로운) 피복 재료학,조길수 趙吉洙,https://library.yonsei.ac.kr/search/detail/CATTOT000000663308,동서문화원,2002
545,600,(아이의 마음을 읽는) 내면 육아 : 내 아이 행동의 숨은 의도를 찾는 육아 수업,이보연,https://library.yonsei.ac.kr/search/detail/CATTOT000002138475,EBS Books,2023
546,600,(외국계 기업) 취업의 뼈대 : 취업과 이직에 성공하는 가장 현실적인 방법,이영렬,https://library.yonsei.ac.kr/search/detail/CATTOT000002155275,이씨책방,2023
547,600,(인적성검사 2023 고시넷 대기업) LG그룹 온라인 인적성검사 최신기출유형 모의고사,고시넷 인적성연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000002146460,고시넷,2023
548,600,(파이썬으로 배우는) 디지털 신호처리,하석운,https://library.yonsei.ac.kr/search/detail/CATTOT000002031436,생능출판,2020
549,600,(하워드 배로우스의) 문제중심학습법 : 의학교육을 중심으로,"Barrows, Howard S.",https://library.yonsei.ac.kr/search/detail/CATTOT000000091179,성균관대학교출판부,2005
550,600,(해커스) 20대기업 인적성 : 통합 기본서 : 최신기출유형+실전문제,해커스 취업교육연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000002177327,해커스잡,2022
551,600,(해커스) LG그룹 인적성검사 : 통합 기본서 : 최신기출유형+실전모의고사,해커스 취업교육연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000002177328,해커스잡,2023
552,600,(해커스) SSAFY 통합 기본서 : 삼성 청년 SW 아카데미(싸피) : SW적성진단+에세이+면접,해커스 취업교육연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000002129542,해커스잡 : 챔프스터디,2022
553,600,"365일 반찬 걱정 없는 책 : 한 가지 재료로 매일 새로운 반찬과 국, 찌개",송혜영,https://library.yonsei.ac.kr/search/detail/CATTOT000002133851,길벗,2022
554,600,Advertising copywriting,"Burton, Philip Ward",https://library.yonsei.ac.kr/search/detail/CATTOT000001399823,NTC Business Books,1990
555,600,"Constructing architecture : materials, processes, structures, a handbook","Deplazes, Andrea",https://library.yonsei.ac.kr/search/detail/CATTOT000001294172,"Birkhäuser ; Springer [distributor],",2005
556,600,"DSM-5 성격장애의 진단 및 치료 핸드북 : 평가, 사례개념화, 치료","Sperry, Len",https://library.yonsei.ac.kr/search/detail/CATTOT000002160798,학지사,2023
557,600,Dealmaking : the new strategy of negotiauctions,"Subramanian, Guhan",https://library.yonsei.ac.kr/search/detail/CATTOT000001625700,W.W. Norton & Co.,2010
558,600,Deep work : rules for focused success in a distracted world,"Newport, Cal",https://library.yonsei.ac.kr/search/detail/CATTOT000001825154,Grand Central Publishing,2016
559,600,Environmental engineering,"Peavy, Howard S",https://library.yonsei.ac.kr/search/detail/CATTOT000001424689,McGraw-Hill,1985
560,600,Essentials of hydraulics,"Julien, Pierre Y",https://library.yonsei.ac.kr/search/detail/CATTOT000002141632,Cambridge University Press,2022
561,600,Fundamentals of microelectronics,"Razavi, Behzad",https://library.yonsei.ac.kr/search/detail/CATTOT000001661380,"Wiley, John Wiley & Sons, Inc.",2014
562,600,"Fundamentals of momentum, heat and mass transfer","Welty, James R",https://library.yonsei.ac.kr/search/detail/CATTOT000001677071,Wiley,2015
563,600,Game theory,"Fudenberg, Drew",https://library.yonsei.ac.kr/search/detail/CATTOT000001574074,MIT Press,1991
564,600,HMAT 현대자동차그룹 인적성검사 : 최신기출유형 + 모의고사 4회 + 무료HMAT특강,SD적성검사연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000002158015,SD에듀 : 시대고시기획,2023
565,600,Hooked : how to build habit-forming products,"Eyal, Nir",https://library.yonsei.ac.kr/search/detail/CATTOT000001933566,Portfolio/Penguin,2014
566,600,IFRS 객관식 재무회계,김기동 金基同,https://library.yonsei.ac.kr/search/detail/CATTOT000002177374,샘앤북스,2023
567,600,IFRS 객관식 재무회계 : 해답 및 해설,김기동 金基同,https://library.yonsei.ac.kr/search/detail/CATTOT000002177344,샘앤북스,2023
568,600,IFRS 재무회계 연습. 1,김기동,https://library.yonsei.ac.kr/search/detail/CATTOT000002160252,샘앤북스,2023
569,600,IFRS 중급회계. 2,김기동,https://library.yonsei.ac.kr/search/detail/CATTOT000002146450,샘앤북스,2023
570,600,IFRS 중급회계. 2,김기동,https://library.yonsei.ac.kr/search/detail/CATTOT000001999159,샘앤북스,2019
571,600,IFRS 중급회계. 上권,신현걸 申鉉杰,https://library.yonsei.ac.kr/search/detail/CATTOT000002187766,지승,2024
572,600,Introduction to finite and spectral element methods using MATLAB,"Pozrikidis, C",https://library.yonsei.ac.kr/search/detail/CATTOT000001303449,Chapman & Hall/CRC,2005
573,600,"K 반도체 대전략 : 위기와 기회가 공존하는 다음 10년, 대한민국은 어떻게 반도체 초강국이 될 것인가",권순용,https://library.yonsei.ac.kr/search/detail/CATTOT000002185044,위즈덤하우스,2024
574,600,Managerial accounting,"Garrison, Ray H",https://library.yonsei.ac.kr/search/detail/CATTOT000002020916,McGraw-Hill Education,2020
575,600,Marketing management,"Kotler, Philip",https://library.yonsei.ac.kr/search/detail/CATTOT000002129650,Pearson,2022
576,600,Mechanics of materials,"Hibbeler, R. C",https://library.yonsei.ac.kr/search/detail/CATTOT000001989543,Pearson,2018
577,600,Moran's principles of engineering thermodynamics,"Moran, Michael J",https://library.yonsei.ac.kr/search/detail/CATTOT000002000820,Wiley,2017
578,600,Principles of electronic materials and devices,"Kasap, S. O. (Safa O.)",https://library.yonsei.ac.kr/search/detail/CATTOT000001877093,McGraw-Hill,2018
579,600,Strategic management : an integrated approach : theory & cases,"Hill, Charles W. L",https://library.yonsei.ac.kr/search/detail/CATTOT000002059371,Cengage Learning,2020
580,600,Structural Analysis,"Hibbeler, R. C",https://library.yonsei.ac.kr/search/detail/CATTOT000002050525,Pearson,2020
581,600,UX 기획의 기술 : 페르소나와 시나리오 기반의 디자인 프로젝트 관리법,"Braun, Kevin Collamore",https://library.yonsei.ac.kr/search/detail/CATTOT000002110444,유엑스리뷰,2022
582,600,감 : 건축재료 처방전. 02 벽돌,,https://library.yonsei.ac.kr/search/detail/CATTOT000001851669,GarmSSI : 애잇애플,2017
583,600,경계선 인성장애의 정신분석 심리치료 : 전이초점 심리치료 지침서,"Clarkin, John F",https://library.yonsei.ac.kr/search/detail/CATTOT000001838764,학지사,2016
584,600,경영과학,"Taha, Hamdy A",https://library.yonsei.ac.kr/search/detail/CATTOT000000814797,교보문고,2012
585,600,경영학 콘서트,장영재,https://library.yonsei.ac.kr/search/detail/CATTOT000000747629,비즈니스북스,2010
586,600,공업열역학,"Moran, Michael J",https://library.yonsei.ac.kr/search/detail/CATTOT000001975701,한티에듀,2019
587,600,공업열역학,"Moran, Michael J",https://library.yonsei.ac.kr/search/detail/CATTOT000002193510,퍼스트북,2019
588,600,그냥 하지 말라 : 당신의 모든 것이 메시지다,송길영,https://library.yonsei.ac.kr/search/detail/CATTOT000002075813,북스톤,2021
589,600,기계진동학,"Rao, Singiresu S.",https://library.yonsei.ac.kr/search/detail/CATTOT000000897367,피어슨에듀케이션코리아,2012
590,600,기술 면접 대비 CS 전공 핵심요약집 : IT 대기업 합격자의 비밀노트,이수진,https://library.yonsei.ac.kr/search/detail/CATTOT000002183463,길벗,2023
591,600,"기초 이동현상론 : 운동량, 열 및 물질전달","Welty, James R",https://library.yonsei.ac.kr/search/detail/CATTOT000001773678,범한서적주식회사,2016
592,600,기초공학,"Das, Braja M.",https://library.yonsei.ac.kr/search/detail/CATTOT000001943830,센게이지러닝코리아,2017
593,600,나노재료,김기범,https://library.yonsei.ac.kr/search/detail/CATTOT000000878852,범한서적주식회사,2012
594,600,나는 나의 스무 살을 가장 존중한다,이하영,https://library.yonsei.ac.kr/search/detail/CATTOT000002195021,토네이도,2024
595,600,나의 뇌는 특별하다 : 템플 그랜딘의 자폐성 뇌 이야기,"Grandin, Temple",https://library.yonsei.ac.kr/search/detail/CATTOT000001744160,양철북,2015
596,600,나의 하루는 4시 30분에 시작된다 : 하루를 두 배로 사는 단 하나의 습관,김유진,https://library.yonsei.ac.kr/search/detail/CATTOT000002027446,토네이도,2020
597,600,"나합격 위험물산업기사 : 필기x실기x무료특강. 1권, 이론",나합격콘텐츠연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000002132617,삼원북스,2023
598,600,"나합격 위험물산업기사 : 필기x실기x무료특강. 2권, 필기",나합격콘텐츠연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000002132618,삼원북스,2023
599,600,논리설계기초,"Roth, Charles H.",https://library.yonsei.ac.kr/search/detail/CATTOT000001836753,센게이지러닝코리아,2017
600,700,공간이 만든 공간 : 새로운 생각은 어떻게 만들어지는가,유현준,https://library.yonsei.ac.kr/search/detail/CATTOT000002003877,을유문화사,2020
601,700,어디서 살 것인가 : 우리가 살고 싶은 곳의 기준을 바꾸다,유현준,https://library.yonsei.ac.kr/search/detail/CATTOT000001903932,을유문화사,2018
602,700,(유현준의) 인문 건축 기행,유현준,https://library.yonsei.ac.kr/search/detail/CATTOT000002154957,을유문화사,2023
603,700,공간의 미래 : 코로나가 가속화시킨 공간 변화,유현준,https://library.yonsei.ac.kr/search/detail/CATTOT000002055118,을유문화사,2021
604,700,무엇이 예술인가,"Danto, Arthur C.",https://library.yonsei.ac.kr/search/detail/CATTOT000000915716,은행나무,2015
605,700,사유 속의 영화 : 영화 이론 선집,"Eisenstein, Sergei",https://library.yonsei.ac.kr/search/detail/CATTOT000000786504,문학과지성사,2011
606,700,아인슈타인 피카소 : 현대를 만든 두 천재,"Miller, Arthur I",https://library.yonsei.ac.kr/search/detail/CATTOT000000043025,작가정신,2002
607,700,야구의 역사,"Vecsey, George",https://library.yonsei.ac.kr/search/detail/CATTOT000000152804,을유문화사,2007
608,700,영화관 옆 철학카페,김용규,https://library.yonsei.ac.kr/search/detail/CATTOT000000678797,이론과실천,2002
609,700,(The) Grand Budapest Hotel : the Wes Anderson Collection,"Seitz, Matt Zoller",https://library.yonsei.ac.kr/search/detail/CATTOT000001768500,윌북,2016
610,700,(두뇌보완계획 S) 논리 퍼즐 : smart solutions,김명석,https://library.yonsei.ac.kr/search/detail/CATTOT000002189842,학아재,2024
611,700,(매출이 쑥쑥 올라가는) 인터넷쇼핑몰 : 상품 사진 촬영 테크닉,남상욱,https://library.yonsei.ac.kr/search/detail/CATTOT000000149188,성안당.com,2007
612,700,(뮤지엄한미 삼청 개관전) 인사이드 아웃 : 한국사진사 1929~1982,최봉림,https://library.yonsei.ac.kr/search/detail/CATTOT000002150260,뮤지엄한미 삼청 : 가현문화재단,2023
613,700,(성악가들을 위한) 프랑스어 딕션과 예술 가곡,심선화,https://library.yonsei.ac.kr/search/detail/CATTOT000000805912,청림출판,2010
614,700,(성악인을 위한) 영어 딕션,"LaBouff, Kathryn",https://library.yonsei.ac.kr/search/detail/CATTOT000000003359,음악춘추사,2003
615,700,(알기 쉬운) 한국미술사,홍선표 洪善杓,https://library.yonsei.ac.kr/search/detail/CATTOT000001901268,미진사,2016
616,700,"(여성전용헬스장) 진달래짐 : 유기 만화. 2, 운동 입문 편",유기,https://library.yonsei.ac.kr/search/detail/CATTOT000002103459,문학동네,2022
617,700,"(여성전용헬스장) 진달래짐 : 유기 만화. 3, 다이어트 시작 편",유기,https://library.yonsei.ac.kr/search/detail/CATTOT000002173073,문학동네,2023
618,700,(페터 춤토르) 건축을 생각하다,"Zumthor, Peter",https://library.yonsei.ac.kr/search/detail/CATTOT000000869866,나무생각,2013
619,700,(페터 춤토르) 분위기 : 건축적 환경 주변의 사물,"Zumthor, Peter",https://library.yonsei.ac.kr/search/detail/CATTOT000000869873,나무생각,2013
