,주류,제목,저자,링크,출판사,출판 연도
308,400,(ETS TOEIC) 토익 단기공략 850+ : LC RC,,https://library.yonsei.ac.kr/search/detail/CATTOT000002180397,YBM,2022
309,400,(나혼자 끝내는 독학) 일본어 첫걸음 : 한 걸음 더,황미진,https://library.yonsei.ac.kr/search/detail/CATTOT000002184391,넥서스Japanese,2024
310,400,(새) 연세한국어 어휘와 문법 : 영어판. 1-1,연세대학교. 한국어학당,https://library.yonsei.ac.kr/search/detail/CATTOT000001934174,연세대학교 대학출판문화원,2018
311,400,(최신개정) HSK 4급 : 한권으로 끝내기 : 본서,남미숙,https://library.yonsei.ac.kr/search/detail/CATTOT000001961343,다락원,2019
312,400,3주완성 연세 한국어. 3,연세대학교. 한국어학당,https://library.yonsei.ac.kr/search/detail/CATTOT000001804029,연세대학교 대학출판문화원,2013
313,400,"경희한국어 : 중급. 1, 읽고 쓰기",탁진영,https://library.yonsei.ac.kr/search/detail/CATTOT000002022077,경희대학교 출판문화원,2020
314,400,"경희한국어 : 중급. 2, 읽고 쓰기",도원숙,https://library.yonsei.ac.kr/search/detail/CATTOT000002022078,경희대학교 출판문화원,2020
315,400,좋은 문장 표현에서 문장부호까지! : 국립국어원 온라인가나다 선생님의 문장 교실,이수연,https://library.yonsei.ac.kr/search/detail/CATTOT000002192903,마리북스,2024
316,400,한국어 기본어휘 연구,서상규 徐尙揆,https://library.yonsei.ac.kr/search/detail/CATTOT000000867721,한국문화사,2013
317,400,한국어 표현 교육론,강현화 姜炫和,https://library.yonsei.ac.kr/search/detail/CATTOT000002073952,한국문화사,2021
318,400,해커스 토익 RC 실전 1000제 : reading 2 : 문제집,해커스어학연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000001935304,해커스어학연구소,2019
319,400,화용론,"Levinson, Stephen C",https://library.yonsei.ac.kr/search/detail/CATTOT000000333431,한신문화사,1992
320,400,(10일 만에 끝내는) 해커스 토익 스피킹,해커스어학연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000002121383,해커스어학연구소,2022
321,400,(10일 만에 끝내는) 해커스 토익 스피킹 : Lv. 7·8,해커스어학연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000002087129,해커스어학연구소,2021
322,400,(2주 만에 끝내는) 해커스 OPIc start : intermediate 공략,해커스 오픽연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000001969107,해커스,2016
323,400,(2주 만에 끝내는) 해커스 토익 speaking : level 7·8,해커스어학연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000001958475,해커스어학연구소,2018
324,400,(3주완성) 연세 한국어. 1,연세대학교. 한국어학당. 교재편찬위원회,https://library.yonsei.ac.kr/search/detail/CATTOT000000892990,연세대학교 대학출판문화원,2013
325,400,(ETS TOEFL) the official guide to the TOEFL iBT test,Educational Testing Service,https://library.yonsei.ac.kr/search/detail/CATTOT000002066219,YBM,2021
326,400,(ETS TOEIC) 토익 단기공략 650+ : LC RC,,https://library.yonsei.ac.kr/search/detail/CATTOT000002104394,YBM,2020
327,400,(ETS TOEIC) 토익 단기공략 part 5 6,,https://library.yonsei.ac.kr/search/detail/CATTOT000002180396,YBM,2023
328,400,(ETS TOEIC) 토익 단기공략 part 7,,https://library.yonsei.ac.kr/search/detail/CATTOT000002180395,YBM,2022
329,400,(ETS TOEIC) 토익 정기시험 기출문제집 : 1000 listening. 2,,https://library.yonsei.ac.kr/search/detail/CATTOT000001993155,YBM,2019
330,400,(ETS TOEIC) 토익 정기시험 기출문제집 : 1000 listening. 3,,https://library.yonsei.ac.kr/search/detail/CATTOT000002087925,YBM,2021
331,400,(ETS TOEIC) 토익 정기시험 기출문제집 : 1000 reading,,https://library.yonsei.ac.kr/search/detail/CATTOT000001938543,YBM,2018
332,400,(ETS TOEIC) 토익 정기시험 기출문제집 : 1000 reading. 2,,https://library.yonsei.ac.kr/search/detail/CATTOT000001993156,YBM,2019
333,400,(ETS TOEIC) 토익 정기시험 기출문제집 : 1000 reading. 3,,https://library.yonsei.ac.kr/search/detail/CATTOT000002088717,YBM,2021
334,400,(ETS TOEIC) 토익 정기시험 기출종합서 : RC,,https://library.yonsei.ac.kr/search/detail/CATTOT000002134715,YBM,2021
335,400,(Hackers) TOEFL : listening,"Cho, David",https://library.yonsei.ac.kr/search/detail/CATTOT000002171030,해커스어학연구소,2023
336,400,(Hackers) TOEFL : reading,"Cho, David",https://library.yonsei.ac.kr/search/detail/CATTOT000002171031,해커스 어학연구소,2023
337,400,(Hackers) TOEFL : writing,"Cho, David",https://library.yonsei.ac.kr/search/detail/CATTOT000002159424,해커스어학연구소,2023
338,400,(Hackers) TOEFL actual test : reading,해커스어학연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000002159423,해커스어학연구소,2023
339,400,(Hackers) TOEFL actual test : writing,해커스어학연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000002159427,해커스어학연구소,2023
340,400,(Hackers) TOEFL actual test : writing,해커스어학연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000002087926,해커스 어학연구소,2021
341,400,(Hackers) TOEFL listening : basic,"Cho, David",https://library.yonsei.ac.kr/search/detail/CATTOT000001851346,해커스어학연구소,2015
342,400,(Hackers) TOEFL listening : intermediate,"Cho, David",https://library.yonsei.ac.kr/search/detail/CATTOT000001967335,해커스어학연구소,2019
343,400,(Hackers) TOEFL reading : intermediate,"Cho, David",https://library.yonsei.ac.kr/search/detail/CATTOT000002159422,해커스어학연구소,2023
344,400,(Hackers) TOEFL speaking : basic,"Cho, David",https://library.yonsei.ac.kr/search/detail/CATTOT000001958352,해커스어학연구소,2015
345,400,(Hackers) TOEFL speaking : intermediate,"Cho, David",https://library.yonsei.ac.kr/search/detail/CATTOT000002087931,해커스 어학연구소,2019
346,400,(Hackers) TOEFL writing : basic,"Cho, David",https://library.yonsei.ac.kr/search/detail/CATTOT000002159425,해커스어학연구소,2023
347,400,(Hackers) TOEFL writing : basic,"Cho, David",https://library.yonsei.ac.kr/search/detail/CATTOT000001958351,해커스어학연구소,2015
348,400,(Hackers) TOEFL writing : intermediate,"Cho, David",https://library.yonsei.ac.kr/search/detail/CATTOT000002159426,해커스어학연구소,2023
349,400,(JLPT 일본어능력시험) 한권으로 끝내기 : N1,이치우,https://library.yonsei.ac.kr/search/detail/CATTOT000002110407,다락원,2021
350,400,(New) 서강한국어 : 문법 말하기 듣기 읽기 쓰기 : Student's Book. 3A,김성희,https://library.yonsei.ac.kr/search/detail/CATTOT000000823013,서강대학교 한국어교육원,2011
351,400,(New) 서강한국어 : 문법 말하기 듣기 읽기 쓰기 : student's book. 2B,김성희,https://library.yonsei.ac.kr/search/detail/CATTOT000000840456,서강대학교 한국어교육원,2011
