,subject,title,link
48,BRITISH AND IRISH HISTORY,"Early modern England, 1485-1714 : a narrative history",https://library.yonsei.ac.kr/search/detail/CAT000001589080
49,BRITISH AND IRISH HISTORY,Atlantic lives : a comparative approach to early America,https://library.yonsei.ac.kr/search/detail/CAT000001589345
50,BRITISH AND IRISH HISTORY,"Early modern England, 1485-1714 : a narrative history",https://library.yonsei.ac.kr/search/detail/CAT000001589080
51,BUSINESS AND SOCIETY,"Business and society : stakeholders, ethics, public policy",https://library.yonsei.ac.kr/search/detail/CAT000002093020
52,CMOS VLSI설계,Digital integrated circuits : a design perspective,https://library.yonsei.ac.kr/search/detail/CAT000001247934
53,COLONIAL HISTORY,Colonialism : a moral reckoning,https://library.yonsei.ac.kr/search/detail/CAT000002140402
54,COLONIAL HISTORY,The last of the Mohicans,https://library.yonsei.ac.kr/search/detail/CAT000002199924
55,COLONIAL HISTORY,"Going to the source : the Bedford reader in American history . v. 1, To 1877",https://library.yonsei.ac.kr/search/detail/CAT000001588146
56,COLONIAL HISTORY,The Columbian exchange : biological and cultural consequences of 1492,https://library.yonsei.ac.kr/search/detail/CAT000001323630
57,COLONIAL HISTORY,Give me liberty! : an American history,https://library.yonsei.ac.kr/search/detail/CAT000001619429
58,COLONIAL HISTORY,"Human capital and empire : Scotland, Ireland, Wales and British imperialism in Asia, c.1690-c.1820",https://library.yonsei.ac.kr/search/detail/CAT000002133454
59,COMPARATIVE CORPORATE LAW AND GOVERNANCE,Corporate governance in Asia : a comparative approach,https://library.yonsei.ac.kr/search/detail/CAT000001966592
60,CONTEMPORARY INTERNATIONAL LAW,International law,https://library.yonsei.ac.kr/search/detail/CAT000001995561
61,CYBERSECURITY,Ghost fleet : a novel of the next world war,https://library.yonsei.ac.kr/search/detail/CAT000001867044
62,CYBERSECURITY,Snow crash,https://library.yonsei.ac.kr/search/detail/CAT000002022171
63,CYBERSECURITY,Neuromancer,https://library.yonsei.ac.kr/search/detail/CAT000001741806
64,CYBERSECURITY,"The hacked world order : how nations fight, trade, maneuver, and manipulate in the digital age",https://library.yonsei.ac.kr/search/detail/CAT000001784076
65,CYBERSECURITY,"A fierce domain : conflict in cyberspace, 1986 to 2012",https://library.yonsei.ac.kr/search/detail/CAT000001741808
66,CYBERSECURITY,"The perfect weapon : war, sabotage, and fear in the cyber age",https://library.yonsei.ac.kr/search/detail/CAT000001918886
67,CYBERSECURITY,Likewar : the weaponization of social media,https://library.yonsei.ac.kr/search/detail/CAT000001925333
